Symbol,Start Date,End Date
AABA,1/10/2011,9/9/2015
AAL,1/10/2014,9/9/2015
AAPL,1/10/2011,9/9/2015
ABBV,1/10/2013,9/9/2015
ABT,1/10/2011,9/9/2015
ACN,1/10/2011,9/9/2015
AET,1/10/2011,9/9/2015
AGG,1/10/2011,9/9/2015
AGN,1/10/2011,9/9/2015
AIG,1/10/2011,9/9/2015
ALXN,1/10/2011,9/9/2015
AMGN,1/10/2011,9/9/2015
AMJ,1/10/2011,9/9/2015
AMLP,1/10/2011,9/9/2015
AMZN,1/10/2011,9/9/2015
ANDV,1/10/2011,9/9/2015
APC,1/10/2011,9/9/2015
ATVI,1/10/2011,9/9/2015
AVGO,1/10/2011,9/9/2015
AXP,1/10/2011,9/9/2015
BA,1/10/2011,9/9/2015
BABA,1/12/2015,9/9/2015
BAC,1/10/2011,9/9/2015
BDX,1/10/2011,9/9/2015
BHC,1/10/2011,9/9/2015
BIDU,1/10/2011,9/9/2015
BIIB,1/10/2011,9/9/2015
BK,1/10/2011,9/9/2015
BKNG,1/10/2011,9/9/2015
BLK,1/10/2011,9/9/2015
BMY,1/10/2011,9/9/2015
BND,1/10/2011,9/9/2015
BP,1/10/2011,9/9/2015
BRCM,1/10/2011,9/9/2015
BRK.B,1/10/2011,9/9/2015
C,1/10/2011,9/9/2015
CAT,1/10/2011,9/9/2015
CB,1/10/2011,9/9/2015
CELG,1/10/2011,9/9/2015
CMCS.A,1/10/2011,9/9/2015
CMG,1/10/2011,9/9/2015
CMRX,1/10/2014,9/9/2015
COP,1/10/2011,9/9/2015
COST,1/10/2011,9/9/2015
CRM,1/10/2011,9/9/2015
CSCO,1/10/2011,9/9/2015
CVS,1/10/2011,9/9/2015
CVX,1/10/2011,9/9/2014
DAL,1/10/2011,9/9/2015
DBEF,1/10/2012,9/9/2015
DD,1/10/2011,9/9/2015
DIA,1/10/2011,9/9/2015
DIS,1/10/2011,9/9/2015
DOW,1/10/2011,9/9/2015
DUK,1/10/2011,9/9/2015
DWTI.F,1/10/2013,9/9/2015
DXJ,1/10/2011,9/9/2015
EEM,1/10/2011,9/9/2015
EFA,1/10/2011,9/9/2015
EOG,1/10/2011,9/9/2015
EPD,1/10/2011,9/9/2015
ESRX,1/10/2011,9/9/2015
EWG,1/10/2011,9/9/2015
EWJ,1/10/2011,9/9/2015
EWZ,1/10/2011,9/9/2015
EXPE,1/10/2011,9/9/2015
EZU,1/10/2011,9/9/2015
F,1/10/2011,9/9/2015
FB,1/10/2013,9/9/2015
FDX,1/10/2011,9/9/2015
FXI,1/10/2011,9/9/2015
GDX,1/10/2011,9/9/2015
GE,1/10/2011,9/9/2015
GILD,1/10/2011,9/9/2015
GLD,1/10/2011,9/9/2015
GM,1/10/2011,9/9/2015
GOOG,1/12/2015,9/9/2015
GOOG.L,1/10/2011,9/9/2015
GS,1/10/2011,9/9/2015
HAL,1/10/2011,9/9/2015
HD,1/10/2011,9/9/2015
HEDJ,1/10/2011,9/9/2015
HON,1/10/2011,9/9/2015
HYG,1/10/2011,9/9/2015
IBB,1/10/2011,9/9/2015
IBM,1/10/2011,9/9/2015
ICE,1/10/2011,9/9/2015
IEF,1/10/2011,9/9/2015
IEFA,1/10/2013,9/9/2015
IEMG,1/10/2013,9/9/2015
IJH,1/10/2011,9/9/2015
ILMN,1/10/2011,9/9/2015
INTC,1/10/2011,9/9/2015
IVV,1/10/2011,9/9/2015
IWB,1/10/2011,9/9/2015
IWD,1/10/2011,9/9/2015
IWF,1/10/2011,9/9/2015
IWM,1/10/2011,9/9/2015
IWN,1/10/2011,9/9/2015
IWR,1/10/2011,9/9/2015
IYR,1/10/2011,9/9/2015
JNJ,1/10/2011,9/9/2015
JPM,1/10/2011,9/9/2015
KMB,1/10/2011,9/9/2015
KMI,1/10/2012,9/9/2015
KO,1/10/2011,9/9/2015
