Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_ESRX,Predicted_Covariance,Future_Cov_45_ESRX,Beta_Predicted
2014-06-09,5.1073182956276414e-05,0.1843195727452675,0.00016756796772544744,0.4252119704773797,1.7051532557664556e-05,1.3845256073868172e-05,0.3338646931847251
2014-06-10,4.95066057749403e-05,0.1765226037602056,0.00015866711128529918,0.4240680649894529,1.564499245792774e-05,1.4267071274894579e-05,0.3160182810562841
2014-06-11,4.7157992518462575e-05,0.17891269695551476,0.00015724079760208071,0.4576041566698557,1.540640946029614e-05,1.5499219965302055e-05,0.3266977374888139
2014-06-12,4.667919578081926e-05,0.18025351102580303,0.00015733101062497768,0.472319295309679,1.5447300018938112e-05,1.5430667447385744e-05,0.3309247248275321
2014-06-13,3.72024477228719e-05,0.18579561870342948,0.00014920824340965133,0.5103173581141621,1.3842598894473636e-05,1.733432990735477e-05,0.3720883904626326
2014-06-16,2.938646502467408e-05,0.1809771219377607,0.0001411361339486571,0.5187006220497379,1.165511221468896e-05,1.7887596396923712e-05,0.3966149792056598
2014-06-17,3.191330809025626e-05,0.2127527681600873,0.00015794354163687827,0.5513296889031503,1.5104698747501198e-05,1.9006734428193056e-05,0.4733040744250813
2014-06-18,3.560112133469648e-05,0.22256644567859626,0.00017994107613871562,0.6882046072961788,1.7813804658383145e-05,2.3083891057773732e-05,0.5003720105024332
2014-06-19,3.687128606172102e-05,0.22004425083934015,0.0001844246665642258,0.6941149640942814,1.814527993167271e-05,2.3328073768174014e-05,0.4921249533118605
2014-06-20,3.6786047916274955e-05,0.259164225980505,0.0001931879431893083,0.692126558660814,2.1847745516549383e-05,2.344837190156732e-05,0.593913909052553
2014-06-23,3.78482539714106e-05,0.2836032660891187,0.00020343903359949206,0.6902287773979049,2.488578213636165e-05,2.3374571217834538e-05,0.6575146677878351
