Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BKNG,Predicted_Covariance,Future_Cov_45_BKNG,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7462553065830275,0.00021835478405140022,1.440852674968262,8.176485540607332e-05,7.891366280760898e-05,1.487205227371978
2013-03-01,5.488021190183326e-05,0.7457718459438233,0.00022588159538555942,1.4363755763377453,8.303368211427663e-05,7.859363145180653e-05,1.512998569735896
2013-03-04,5.501029900576039e-05,0.7421862058595551,0.00022943167580539916,1.391321954798525,8.337993836993902e-05,7.606671891023597e-05,1.5157150547610714
2013-03-05,5.845535101370509e-05,0.7319842440180575,0.00022805813105777545,1.4194278523555304,8.451555539599666e-05,7.60739149642661e-05,1.4458138379184766
2013-03-06,5.9250468430820016e-05,0.6815010386309114,0.00022662601289518113,1.4054764607141732,7.897093777005077e-05,7.584546146544068e-05,1.3328322941827218
2013-03-07,5.369174155549812e-05,0.6833923745868737,0.00022045666581884307,1.4346069997813358,7.435077358530449e-05,7.75432799187046e-05,1.3847711292518292
2013-03-08,4.524810700565277e-05,0.6846412579035859,0.0002111512945831512,1.4367479239640597,6.692064970881857e-05,7.73470257376662e-05,1.4789712573049363
2013-03-11,4.8373919939468494e-05,0.6790946064929823,0.00020726781745292923,1.446230600507628,6.799889558666773e-05,8.034729405346449e-05,1.405693308951527
2013-03-12,5.1431479865635213e-05,0.6744336699816498,0.00020705325463175534,1.461365943318738,6.959768349205552e-05,8.128426232686305e-05,1.3532117620157835
2013-03-13,5.5261000285198275e-05,0.6689249932355827,0.00020447828032881752,1.4633525260315108,7.110667740623005e-05,8.261195345523435e-05,1.286742495417262
2013-03-14,6.195858588029715e-05,0.6839468588466799,0.00020992908226584228,1.4881382897477973,7.800265971837053e-05,8.580726113380897e-05,1.2589483541323914
2013-03-15,6.386120353979619e-05,0.6941643171852755,0.0002136018696929372,1.490447051735464,8.107432842232263e-05,8.425115897698574e-05,1.2695396254441054
2013-03-18,6.402550064969363e-05,0.6856879797975289,0.00022432882575592014,1.4429404690126748,8.217610816890526e-05,7.98945402752914e-05,1.2834902864488338
2013-03-19,6.71640875084588e-05,0.6829260491648639,0.00023234193000276106,1.5075943096838356,8.531119673573953e-05,8.575915778584617e-05,1.2701906614155258
2013-03-20,6.839791392936718e-05,0.6871700400826943,0.000249224652090817,1.5048156329940208,8.971832229645361e-05,8.521584536477241e-05,1.3117113833194312
2013-03-21,6.814178529168062e-05,0.6389262964934712,0.0002691077876825222,1.5343796338447544,8.652082456982916e-05,8.357064251729675e-05,1.2697176071844483
2013-03-22,6.79733209422515e-05,0.6527049352005179,0.00029017623224319636,1.5039334771269848,9.166785295945039e-05,8.115188292683787e-05,1.3485857640724834
2013-03-25,7.243408887933498e-05,0.6676158878925482,0.00030272628957215506,1.529443926331406,9.886059802057325e-05,8.363003938100654e-05,1.3648352529878731
2013-03-26,7.339742545776695e-05,0.6859380769268358,0.00030388628439816144,1.5825271744142648,0.00010244266651615869,8.516099979558655e-05,1.395725611317313
2013-03-27,7.311742529462491e-05,0.6871144954567135,0.0003045796553775094,1.4801234173420734,0.00010253921800888798,8.785016105434761e-05,1.4023909840329942
2013-03-28,6.422356192814954e-05,0.6805060080236628,0.0003034535094050278,1.4727149157820445,9.500035764905012e-05,8.794564065071713e-05,1.4792134661626568
