Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_SBUX,Predicted_Covariance,Future_Cov_45_SBUX,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7082925477718557,0.00012816398518715054,1.028312663161191,5.94557085228639e-05,5.631937266819025e-05,1.0814284459156518
2013-03-01,5.488021190183326e-05,0.7058683873377791,0.0001268553792538997,1.034635859203701,5.889603606635367e-05,5.6611787853150074e-05,1.0731743560266076
2013-03-04,5.501029900576039e-05,0.7051131136534339,0.00012792862283082538,1.004010032390974,5.915134944784873e-05,5.489149988149229e-05,1.0752777301147685
2013-03-05,5.845535101370509e-05,0.7078836139886416,0.00013558342088869135,0.986795177003601,6.301983902154881e-05,5.288706450133587e-05,1.0780850329129588
2013-03-06,5.9250468430820016e-05,0.6999550072929905,0.00016718717425479352,0.9844501988669404,6.966545815211642e-05,5.3125101493956804e-05,1.175779027527129
2013-03-07,5.369174155549812e-05,0.6783056675232118,0.0001770177188218494,0.9868616169083608,6.612833091678501e-05,5.3341776955371144e-05,1.2316294648113042
2013-03-08,4.524810700565277e-05,0.6510226510272182,0.0001932411995433892,0.9845151966124224,6.0876008499706016e-05,5.30011708953123e-05,1.345382437592381
2013-03-11,4.8373919939468494e-05,0.6179306056763113,0.00021767707343553562,0.9918603700230496,6.340911499687753e-05,5.510414230085256e-05,1.310812005233873
2013-03-12,5.1431479865635213e-05,0.5593003489470545,0.00023625554216351002,0.9903770068891816,6.165248741188833e-05,5.508686225960251e-05,1.1987305746005268
2013-03-13,5.5261000285198275e-05,0.5137805844160563,0.00025852864580463986,1.0003057871894412,6.14103248878747e-05,5.647116034056441e-05,1.1112778373706624
2013-03-14,6.195858588029715e-05,0.5733336570429158,0.00024673911702314134,1.0295112183401924,7.088872888443796e-05,5.9362452106029634e-05,1.1441308396126677
2013-03-15,6.386120353979619e-05,0.6305674729680951,0.00022360833104463545,1.0467348036210664,7.535188204843454e-05,5.916924069455274e-05,1.1799320694211117
