Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_EOG,Predicted_Covariance,Future_Cov_45_EOG,Beta_Predicted
2013-09-23,6.644616634370019e-05,0.6713713196416107,0.0002721031948677201,1.3667678656454751,9.027439149784157e-05,6.330128321647013e-05,1.3586094799041866
2013-09-24,6.687102886618699e-05,0.6621184762282447,0.00028588748592926056,1.4105975092762637,9.154872121354521e-05,6.4921566044869e-05,1.369034135795036
2013-09-25,5.221698153901886e-05,0.6577197665561936,0.000277213248375868,1.4078578026516122,7.913229595817598e-05,6.421399352773436e-05,1.5154513651664216
2013-09-26,5.0374063840171386e-05,0.6549845736209658,0.0002534202616114161,1.4111162442463987,7.400400657449083e-05,6.433268346624705e-05,1.469089466541619
2013-09-27,5.122431082106018e-05,0.6551148691792236,0.0002472059066892961,1.4022082895684125,7.37199344734995e-05,6.32769759086274e-05,1.439159127606858
2013-09-30,5.1567877421329924e-05,0.663564679794562,0.00024421934039110213,1.373496730596549,7.446683850523164e-05,6.158394020003235e-05,1.4440547532489685
2013-10-01,5.3629225784131454e-05,0.6651307188305384,0.0002466757385302485,1.335103733076723,7.650168277798072e-05,5.866158000326436e-05,1.426492395879731
2013-10-02,4.9785428743887e-05,0.6572585796266269,0.0002494605841645905,1.3469874234515185,7.324674960573462e-05,6.0022610727286034e-05,1.4712487459441306
2013-10-03,5.1677659876475144e-05,0.6538820245796916,0.00024959468864712046,1.1943038125028027,7.426231576132513e-05,5.261356014646849e-05,1.4370293844348598
2013-10-04,4.988490741732951e-05,0.6403543582379245,0.0002303884909282676,1.155136224914112,6.864917856656133e-05,4.9993862834731805e-05,1.3761512674014367
2013-10-07,5.300164613196136e-05,0.6547352844132912,0.0002333958159218818,1.1324166397475084,7.282105363217764e-05,4.6971044947936996e-05,1.3739394706887162
2013-10-08,5.7418241986777646e-05,0.6676498921378723,0.00024388164430608496,1.2194595597306792,7.900658425397088e-05,5.02735572911073e-05,1.3759840343451237
2013-10-09,4.671951297786224e-05,0.6140074897179797,0.0002509455630763353,1.1634924913061695,6.648330224960498e-05,4.859663872839689e-05,1.4230307212557565
2013-10-10,5.493659376391755e-05,0.6310670859260532,0.000247622879435334,1.1827434095357054,7.36040613210268e-05,3.876626448585474e-05,1.339800236565997
2013-10-11,5.397060840252837e-05,0.628172198170758,0.0002470807485965321,1.1145584854577382,7.253987827972943e-05,3.647066517245025e-05,1.344062637550907
2013-10-14,5.390763459317086e-05,0.6230246226702509,0.00024457491593587115,1.0727139265216814,7.153791943415437e-05,3.532745702183126e-05,1.327046159120789
2013-10-15,5.553151341989191e-05,0.6237882768339716,0.00024266784910930545,1.1060588773358024,7.241242368032223e-05,4.077631454187135e-05,1.3039879380341797
2013-10-16,4.144281603770634e-05,0.5823073188178279,0.00023603463301296562,1.0524681082651195,5.7592342482880326e-05,3.5202930566383776e-05,1.3896821690514587
2013-10-17,4.1583055321708076e-05,0.5289106952672622,0.00022813409659662171,1.0756347695057944,5.1515230420402706e-05,3.5238775965848424e-05,1.238851499050615
2013-10-18,4.3823960134694674e-05,0.5297185888608135,0.00022468647772162553,1.015793590015562,5.256413129698112e-05,3.295732787351106e-05,1.1994381871337776
2013-10-21,4.4710412594374516e-05,0.5144021432711109,0.00021971951299339391,1.0235679309422492,5.098488242227188e-05,3.321857361681559e-05,1.1403357621595025
2013-10-22,4.4371990394003997e-05,0.4958399541065322,0.00021407451034635632,1.0081473303974156,4.832573338118639e-05,3.257224652754922e-05,1.0891044767673226
2013-10-23,3.6244305626284386e-05,0.45765178728365796,0.00023694133904109645,0.8757115919915989,4.241070325065092e-05,2.762747093752358e-05,1.1701342464095839
2013-10-24,4.040389782719303e-05,0.4511650007192408,0.00023851318056663511,0.8573197884884056,4.4289749679739405e-05,2.698285512716612e-05,1.0961751727312576
2013-10-25,3.967999624918889e-05,0.4370555660679837,0.0002479666241828342,0.8368330684425044,4.3352992589444815e-05,2.6360381879100785e-05,1.0925654407119811
2013-10-28,4.081308187982178e-05,0.4300639471674555,0.00024992055774913956,0.8808476986084558,4.3434389595860555e-05,2.9980653740434878e-05,1.0642271447120184
2013-10-29,4.2024721372673885e-05,0.43120297447828204,0.0002504572029689569,0.8408416693628953,4.423855496301818e-05,2.824039396502064e-05,1.052679316317462
2013-10-30,3.243679795796633e-05,0.4256344030425059,0.0002582129983953534,0.7618909247958154,3.8953345415655644e-05,2.524941840772322e-05,1.200899838083089
2013-10-31,3.3498134377451295e-05,0.4232414066186697,0.0002538096824575666,0.799767786320104,3.902586628188452e-05,2.6761911604531838e-05,1.1650161123048728
2013-11-01,3.528785039280735e-05,0.423870110625281,0.0002474880010973265,0.7953810594576677,3.9611607668723714e-05,2.658573926395646e-05,1.122528213755907
2013-11-04,3.477448195487655e-05,0.4181609207176256,0.0002485916925345032,0.750774171516441,3.887917881410692e-05,2.4976557773844974e-05,1.118037613459106
2013-11-05,3.766596277267884e-05,0.4232564573349365,0.000250950697200029,0.706121359958699,4.115023619020712e-05,2.3277091077178135e-05,1.0925045627681556
2013-11-06,3.8333959556374354e-05,0.39783018857373087,0.0002520126406413998,0.8302330233257086,3.910215908582311e-05,3.081266208718021e-05,1.0200396603517836
2013-11-07,4.0431492315281525e-05,0.4057076106660051,0.000272187266070887,0.8371930384710323,4.2560521626968005e-05,2.9499886996746577e-05,1.0526576979915676
2013-11-08,4.3778322206368926e-05,0.39312690801170086,0.0002777157978213637,0.9794068163929036,4.334735673229992e-05,3.1512069023728796e-05,0.9901557334235548
2013-11-11,4.088414418239951e-05,0.40362978619268836,0.0002713073645464141,0.9801318731239524,4.251003424445307e-05,3.1630631914001635e-05,1.0397682303144185
2013-11-12,3.99781619662566e-05,0.4154680079400265,0.0002880695787043769,0.9404563236772328,4.4585916461258554e-05,3.073179654065181e-05,1.115256786915094
2013-11-13,4.4902541372157916e-05,0.43332618702429904,0.00027938764560306767,0.9025384394543916,4.853488390789759e-05,2.8520811635528746e-05,1.0808939188014852
2013-11-14,4.545126757048379e-05,0.44487795813617254,0.00027618245243273844,0.9111366101735516,4.9843890060387444e-05,2.8407149312274022e-05,1.0966446641579748
2013-11-15,4.488960878325864e-05,0.45149793308984143,0.00027372566378981993,0.936202572021262,5.004796640937269e-05,3.0481888143499363e-05,1.11491206463884
2013-11-18,4.304897041106976e-05,0.4808369768306402,0.00033550522366470226,0.9235473516979358,5.7786831929960134e-05,3.967721487292385e-05,1.3423510801340939
2013-11-19,4.253689180732228e-05,0.5017169111570429,0.0003805991082025934,0.9624255633332204,6.383744538692944e-05,4.1764226306718626e-05,1.5007548195127056
2013-11-20,3.986505410246521e-05,0.5043898627133494,0.00035600087697505706,1.0377934767256671,6.008804335280654e-05,4.564589356338032e-05,1.5072861358312006
2013-11-21,3.485111027762049e-05,0.5333851570960877,0.0003482616569630509,1.0384611319773256,5.876274382525639e-05,4.6247805375354744e-05,1.6861082288959575
