Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_CMCS.A,Predicted_Covariance,Future_Cov_45_CMCS.A,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.6650477104420998,0.0001233714197090492,0.9779957075845226,5.477192045766566e-05,5.3563577204250876e-05,0.9962359257323665
2013-03-01,5.488021190183326e-05,0.6615750644768469,0.00012415944766175162,0.977339995931951,5.461059439683258e-05,5.347675128202284e-05,0.9950871635575504
2013-03-04,5.501029900576039e-05,0.6612715047858747,0.00012556603381901643,0.9736604880659327,5.495888330004299e-05,5.3232221632295986e-05,0.9990653440056376
2013-03-05,5.845535101370509e-05,0.658155279353621,0.00012698068934681512,0.9576290297606048,5.6703432043208205e-05,5.132391143123321e-05,0.9700297929938674
2013-03-06,5.9250468430820016e-05,0.6580525110985448,0.00012539052036353616,0.9656920171258306,5.6720336300007325e-05,5.2112830573614265e-05,0.9572976856078895
2013-03-07,5.369174155549812e-05,0.655330754707277,0.00011964903381264781,0.9672008964919184,5.2525342551616375e-05,5.227907703344982e-05,0.9782760072575388
2013-03-08,4.524810700565277e-05,0.6761404927652359,0.00011116833060892072,0.9602748731141516,4.795431538388745e-05,5.169619812017373e-05,1.059808212040707
2013-03-11,4.8373919939468494e-05,0.6739941990510502,0.00011290470260172867,0.935989723765487,4.981014603016033e-05,5.200017309826645e-05,1.0296900911170528
2013-03-12,5.1431479865635213e-05,0.6773272756557681,0.00012022958400808122,0.9306312486685296,5.326215662503452e-05,5.176367691624092e-05,1.0355944795713043
2013-03-13,5.5261000285198275e-05,0.6812470045200695,0.00012424715149661144,0.9687796463050706,5.6449122734539404e-05,5.4691386815708e-05,1.0215001980277105
2013-03-14,6.195858588029715e-05,0.6770053170195391,0.00012848923249403593,0.9076710892527556,6.040545994449303e-05,5.233705141228476e-05,0.9749328375763009
2013-03-15,6.386120353979619e-05,0.6741338047151736,0.0001308682153048363,0.9088640435360814,6.16285209469782e-05,5.137575932755455e-05,0.9650385136974962
2013-03-18,6.402550064969363e-05,0.676355444857564,0.0001323642970934952,0.9000528744292924,6.226398473948654e-05,4.983525805135014e-05,0.9724872762831646
2013-03-19,6.71640875084588e-05,0.6796091801915594,0.00013242321355557993,0.9074281172978312,6.40928904145745e-05,5.1618841083963774e-05,0.9542732253527975
2013-03-20,6.839791392936718e-05,0.6802860278850543,0.0001353322357839089,0.8662511351072989,6.545059632600123e-05,4.905472880388094e-05,0.9569092471678365
2013-03-21,6.814178529168062e-05,0.6478845090980894,0.00013674639195897071,0.8359931025416839,6.254063523733662e-05,4.553272161490748e-05,0.9178015364527314
2013-03-22,6.79733209422515e-05,0.6335290557968595,0.00014073394418027025,0.783389012502829,6.19633959863723e-05,4.2271479686885674e-05,0.9115840616205131
2013-03-25,7.243408887933498e-05,0.6214575548595435,0.00013464318422340527,0.8835421701445196,6.137269009280852e-05,4.8312112142093125e-05,0.8472901508438493
2013-03-26,7.339742545776695e-05,0.6140214717673254,0.00013360063544931905,0.9172819768865322,6.080345161424357e-05,4.936196452679693e-05,0.8284139564163598
2013-03-27,7.311742529462491e-05,0.6083122959819712,0.00013141407689587034,0.9475559581629698,5.962906292972453e-05,5.62405422124236e-05,0.8155246535206984
2013-03-28,6.422356192814954e-05,0.6055216272661179,0.00013174989031394183,0.9508170097980282,5.569958825089118e-05,5.6779632074197195e-05,0.8672765349453117
2013-04-01,6.678777769649997e-05,0.6023628827244504,0.00013378677431448454,0.8947138963889735,5.693945302278494e-05,5.3618300716136624e-05,0.8525430099131576
2013-04-02,6.451960799026473e-05,0.6098272154923601,0.00013876397632782363,0.8882690654737784,5.77020217802023e-05,5.738901000266157e-05,0.8943331117093718
2013-04-03,6.836168011312682e-05,0.6104391958216534,0.00013992673449640745,0.8714960284140668,5.97034083616113e-05,5.521771240798791e-05,0.8733461240685195
2013-04-04,6.901245142532413e-05,0.6103953633580894,0.00013635464767602286,0.920507389853066,5.921202666041292e-05,6.0911295099742304e-05,0.857990484869011
2013-04-05,6.697476452894188e-05,0.6197021500806601,0.00013771068262282974,0.910117894790238,5.951444886766855e-05,5.9561466492621754e-05,0.8886100501622594
2013-04-08,7.273438811092278e-05,0.6181576807390954,0.00012503489570264278,0.9210936827396404,5.895013211071115e-05,6.240471070590822e-05,0.8104850214840592
2013-04-09,7.022991067372413e-05,0.625766233917545,0.00012563795879244906,0.9498716577354216,5.878054643897059e-05,6.600453518723599e-05,0.836973105548357
2013-04-10,6.636144982931065e-05,0.6314380384763937,0.00012628669625555235,0.9250313772566116,5.7805275385660896e-05,6.586263314661934e-05,0.8710670959471617
2013-04-11,6.716170407401359e-05,0.6405796422923054,0.00011914900199439821,0.9062899093813468,5.730324162101264e-05,6.539049421039293e-05,0.8532130387558851
2013-04-12,6.98842565011876e-05,0.6120429216514034,0.00012332728413911933,0.9215087507402164,5.681998804966463e-05,6.732918879992161e-05,0.8130584897715702
2013-04-15,9.593981606210937e-05,0.5858355149262886,0.00013563837304520065,0.9543385935188616,6.682922471713424e-05,5.760033182979843e-05,0.6965744511524855
2013-04-16,8.836558039441448e-05,0.573854313026593,0.00014074148477945914,0.9266640498272336,6.399621391884355e-05,5.684588144115674e-05,0.7242210556780172
2013-04-17,8.959564094882932e-05,0.5702399311130005,0.00015098798159848234,0.9727735951676806,6.632423595110827e-05,6.91332093151462e-05,0.7402618615004717
2013-04-18,9.719405369416862e-05,0.5714743081977877,0.00015586926453716346,0.9321793263901672,7.033909909053472e-05,6.538927204868225e-05,0.723697555735911
2013-04-19,7.72897485213767e-05,0.5987163607209419,0.00014080342512615357,0.8618650353975698,6.245808764820872e-05,6.254383955166395e-05,0.8081031293682388
2013-04-22,7.797978274745508e-05,0.6136355090927157,0.00014108727055601902,0.8746296654622929,6.436435317819614e-05,6.485423614516909e-05,0.8253979545781271
2013-04-23,8.499754389235151e-05,0.6377663108310149,0.00013484627999772126,0.8460919550248286,6.827854341258194e-05,6.25755348184802e-05,0.8033001929921174
2013-04-24,7.773768893068322e-05,0.6442929968864254,0.00013672368625847558,0.8438541474164761,6.642340015923506e-05,6.298161720718156e-05,0.8544555552514967
2013-04-25,6.90805921567358e-05,0.6569076523595132,0.00013705652090615118,0.7925276271683201,6.391932771127613e-05,5.926401519641821e-05,0.9252863317420708
2013-04-26,7.034557142953508e-05,0.6234880270024423,0.00013764428434270997,0.7520269457496958,6.135155715866227e-05,5.6674558795474024e-05,0.8721452667438762
2013-04-29,6.776168711759701e-05,0.6187036117955436,0.00014293743426582536,0.75347146282961,6.089024866414265e-05,5.612595327089464e-05,0.898594047082545
2013-04-30,5.8041023931509805e-05,0.5994347699335248,0.0001437917046388554,0.7579435706224399,5.476163159584409e-05,5.638086469777029e-05,0.9434987167087973
2013-05-01,6.311211636341748e-05,0.571428916633199,0.0001484788435409803,0.8330237466857942,5.531601347076368e-05,6.235325455430442e-05,0.8764721682321406
2013-05-02,6.214021471172626e-05,0.5592080920400254,0.00014973994633273654,0.8560543389473796,5.3942200456488275e-05,6.312324322793086e-05,0.8680723217119659
2013-05-03,7.476459886581012e-05,0.5390600430353961,0.0001580897186249729,0.8510563255097072,5.860530879963014e-05,6.185421877359663e-05,0.7838644183033311
2013-05-06,7.535412832838797e-05,0.5268643341140536,0.00016575526139210917,0.8484019734285764,5.888246555501848e-05,6.157956671042854e-05,0.7814099487477695
2013-05-07,7.392273390092128e-05,0.5181101946932981,0.00017008057966285978,0.9390598996873376,5.809496729771348e-05,7.131214743181925e-05,0.785887699656485
2013-05-08,6.958015556766957e-05,0.5098226189975382,0.00017166461558382312,0.937859505545716,5.571885586501725e-05,7.089164391734949e-05,0.8007865951209087
2013-05-09,7.111722928104653e-05,0.5075790293390665,0.00017634356241833286,0.9178930915777714,5.6842201522811e-05,6.93491788726824e-05,0.799274691905918
2013-05-10,7.562958883543677e-05,0.5164439571757342,0.0001828161039430076,0.918193002227366,6.072622641661868e-05,6.963052311335523e-05,0.8029427020785942
2013-05-13,7.357910230951406e-05,0.5201909532754312,0.00018848633814915708,0.9151619315928826,6.126042086501995e-05,6.947971897035327e-05,0.8325790739784378
2013-05-14,7.590263764609063e-05,0.519155835616081,0.00019297236121209108,0.9419820553544146,6.283096494716959e-05,7.000283139619576e-05,0.8277836830932016
