Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_REGN,Predicted_Covariance,Future_Cov_45_REGN,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.40468054093485145,0.0007362737870999707,1.3678999687773292,8.141977093739792e-05,7.491813616059754e-05,1.4809285523488258
2013-03-01,5.488021190183326e-05,0.40784329806001884,0.0007295534512317971,1.3437683841481298,8.160744444293744e-05,7.352647794917317e-05,1.487010374320573
2013-03-04,5.501029900576039e-05,0.41435805685542465,0.0007144121359896694,1.3338232669093728,8.214331062736589e-05,7.292313556183374e-05,1.4932351234586867
2013-03-05,5.845535101370509e-05,0.4302177273026728,0.0007040864271897374,1.3488706623735784,8.72797360659116e-05,7.229241831271263e-05,1.4931008804557262
2013-03-06,5.9250468430820016e-05,0.4413136853218981,0.0006831618703442778,1.367218626174649,8.878816876137928e-05,7.378090670666239e-05,1.4985226465348043
2013-03-07,5.369174155549812e-05,0.4254575156577595,0.0006633296807229112,1.4000778181090154,8.029244085516922e-05,7.567691094086727e-05,1.4954337208856499
2013-03-08,4.524810700565277e-05,0.36548195779238557,0.0006232750953423492,1.4093911812392694,6.137705369108868e-05,7.587428118147799e-05,1.356455722742632
2013-03-11,4.8373919939468494e-05,0.37341050740248927,0.0006129251984159285,1.3744256686072664,6.429777036909698e-05,7.635807409375544e-05,1.3291825522834286
2013-03-12,5.1431479865635213e-05,0.3781656284085778,0.0006089040337429554,1.2925603935561256,6.692232011838264e-05,7.18949408828628e-05,1.301193749299403
2013-03-13,5.5261000285198275e-05,0.38309206820921016,0.000602448183745101,1.3832543155160677,6.989922825330222e-05,7.809009729191184e-05,1.2648925624320415
2013-03-14,6.195858588029715e-05,0.3618212631085841,0.0006129424015034642,1.374303488879726,7.05106416356205e-05,7.9243454160025e-05,1.1380285820571465
2013-03-15,6.386120353979619e-05,0.3570407684616811,0.0006096103735770021,1.3859361693164916,7.044700472356613e-05,7.834342615329838e-05,1.1031267940270792
2013-03-18,6.402550064969363e-05,0.358429753548528,0.0006175365869329031,1.3591587908984324,7.127084235358359e-05,7.525561108855255e-05,1.1131633744425025
2013-03-19,6.71640875084588e-05,0.340854892083812,0.0006211088257305218,1.3549016635566735,6.96180638873221e-05,7.707327150473943e-05,1.0365370314687035
2013-03-20,6.839791392936718e-05,0.3405800643706128,0.0006283070108054195,1.4432760636019997,7.060356073068148e-05,8.173093577575443e-05,1.0322472817459318
2013-03-21,6.814178529168062e-05,0.37462075970476144,0.0006503230365320146,1.3900416567553222,7.886116042122812e-05,7.570921290825968e-05,1.1573098662393897
2013-03-22,6.79733209422515e-05,0.38296276686662617,0.0006558511539170504,1.401751831866606,8.085901377332705e-05,7.563818631754185e-05,1.1895698584746641
2013-03-25,7.243408887933498e-05,0.4003843815304144,0.000664926036224339,1.4100908296816397,8.786892194057052e-05,7.710380850635981e-05,1.2130879714238942
2013-03-26,7.339742545776695e-05,0.404240156724663,0.0006670154608535259,1.4727566577337845,8.944330063967712e-05,7.925388673002561e-05,1.2186163217828807
2013-03-27,7.311742529462491e-05,0.4008220213292156,0.0006586136538398598,1.6342410137273116,8.795841277037543e-05,9.699754397195959e-05,1.2029747001614062
2013-03-28,6.422356192814954e-05,0.408057782817968,0.0006775923717602718,1.551651087144666,8.512421379295967e-05,9.265944648415262e-05,1.3254358873491452
2013-04-01,6.678777769649997e-05,0.40310774900205326,0.0006835410478813402,1.6010868824796425,8.612950338988207e-05,9.594973128721072e-05,1.2895997794877327
