Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_COST,Predicted_Covariance,Future_Cov_45_COST,Beta_Predicted
2013-04-11,6.716170407401359e-05,0.5485523261880311,0.00010253703718944705,0.8511403964126474,4.5521786401760206e-05,6.141135478584885e-05,0.6777937967683825
2013-04-12,6.98842565011876e-05,0.5936566666391819,9.45942458881633e-05,0.8519991019075829,4.826778653603454e-05,6.225053027832929e-05,0.6906818352601961
2013-04-15,9.593981606210937e-05,0.667117019951601,0.00010266423545935009,0.8548551156577566,6.620808860839039e-05,5.159587871923811e-05,0.6901002245567023
2013-04-16,8.836558039441448e-05,0.6933522051111982,0.00010741322272368538,0.8857243932083689,6.754984265024378e-05,5.433445255079288e-05,0.7644361339419614
2013-04-17,8.959564094882932e-05,0.7064736069405984,0.00010931692708824131,0.929875263207056,6.99170489923502e-05,6.60845046859942e-05,0.780362172220877
2013-04-18,9.719405369416862e-05,0.7224810495165508,0.00011353680326294464,0.9070868590909504,7.58952575452359e-05,6.362911912085982e-05,0.780863176918707
2013-04-19,7.72897485213767e-05,0.7281858974743549,0.00011847288770541604,0.8258013871325945,6.968073100164386e-05,5.9926771985288176e-05,0.9015520471304374
2013-04-22,7.797978274745508e-05,0.717336613510808,0.00012176447080566628,0.8137273535334806,6.98995373825591e-05,6.033829862831126e-05,0.8963802529296008
2013-04-23,8.499754389235151e-05,0.7269754736154365,0.0001321742724998994,0.7804504745175179,7.70542169964118e-05,5.7720801565637314e-05,0.9065463949640727
2013-04-24,7.773768893068322e-05,0.7337931904936768,0.0001342963705120175,0.7763725808277786,7.497588964674598e-05,5.794508546950827e-05,0.9644728403696197
2013-04-25,6.90805921567358e-05,0.7215755581760495,0.00013568468757965034,0.7739636419305413,6.985946563360102e-05,5.787582850673929e-05,1.011274852350687
2013-04-26,7.034557142953508e-05,0.7086422797551891,0.00013192795479037854,0.7660830015093362,6.826747751333839e-05,5.773385695371757e-05,0.9704587812144179
2013-04-29,6.776168711759701e-05,0.6854426443963557,0.00012970577461473304,0.7857088240506541,6.426031962509856e-05,5.852730848967669e-05,0.9483282125720689
2013-04-30,5.8041023931509805e-05,0.6670261257791896,0.00012443786679001626,0.7883183148334401,5.6687415361091965e-05,5.864033942645408e-05,0.9766784167692296
2013-05-01,6.311211636341748e-05,0.6846317465695871,0.00011799769721590788,0.7982250021550104,5.9081317508450174e-05,5.974850890986051e-05,0.9361327255806663
2013-05-02,6.214021471172626e-05,0.6588111690143762,0.00011133454684435225,0.8115070267492884,5.47976962808809e-05,5.9838439103827794e-05,0.8818395065915376
