Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_PEP,Predicted_Covariance,Future_Cov_45_PEP,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5351425302798685,9.638564756796632e-05,0.7468227685096601,3.895592647008485e-05,4.09025302552285e-05,0.7085618533256193
2013-03-01,5.488021190183326e-05,0.5369226794263497,9.574130927022722e-05,0.7445025741626575,3.891968527619594e-05,4.0736672143819895e-05,0.709175200449542
2013-03-04,5.501029900576039e-05,0.532200707863576,9.442063532333645e-05,0.7464327758597713,3.835578802274177e-05,4.080916853995473e-05,0.6972474012316376
2013-03-05,5.845535101370509e-05,0.5296674758874187,9.377616537427535e-05,0.7507336084865267,3.921585402486692e-05,4.023539808525306e-05,0.6708685063865686
2013-03-06,5.9250468430820016e-05,0.5176847491893855,9.05817079016999e-05,0.756884779458704,3.7925517681067576e-05,4.084470781178604e-05,0.6400880648791639
2013-03-07,5.369174155549812e-05,0.527996937621694,9.259753486251858e-05,0.7550981488921907,3.7229299241572336e-05,4.081451375503356e-05,0.6933896752648732
2013-03-08,4.524810700565277e-05,0.5049101611101546,9.100235716668001e-05,0.7594525860815641,3.2399673895773405e-05,4.088497205558323e-05,0.7160448478369663
2013-03-11,4.8373919939468494e-05,0.5032031808798402,9.311456380334986e-05,0.7570979858926906,3.3772081220187186e-05,4.206160101885134e-05,0.6981464653360125
2013-03-12,5.1431479865635213e-05,0.5131780205043611,9.257429905476631e-05,0.7655191057980315,3.541015059289313e-05,4.257979056950069e-05,0.6884917697371762
2013-03-13,5.5261000285198275e-05,0.5189589264420283,9.154685954338893e-05,0.7738245310627011,3.691170300255433e-05,4.368541073013716e-05,0.667952132825239
2013-03-14,6.195858588029715e-05,0.5295998725491962,9.395366225591424e-05,0.7519697184666404,4.04068948123698e-05,4.335918405010533e-05,0.652159732800151
2013-03-15,6.386120353979619e-05,0.5383272617527987,9.578000476818382e-05,0.7664552763169864,4.210196350339483e-05,4.3325756026382526e-05,0.6592729414684187
2013-03-18,6.402550064969363e-05,0.5394871399262952,9.479416868062048e-05,0.7641379707498528,4.202893636020241e-05,4.230975095024326e-05,0.6564405734233572
2013-03-19,6.71640875084588e-05,0.5431008027655675,9.510666183608836e-05,0.7321830337237104,4.3406470482495374e-05,4.1650064552445396e-05,0.6462749974386038
2013-03-20,6.839791392936718e-05,0.5333483649153481,9.560231714690558e-05,0.7702941190612714,4.312872361307695e-05,4.362080184182906e-05,0.6305561256972677
2013-03-21,6.814178529168062e-05,0.5368536666942695,9.770937588428512e-05,0.780684159433867,4.380571740669112e-05,4.252029639072034e-05,0.6428613107094411
2013-03-22,6.79733209422515e-05,0.5424530091193899,0.00012378705144098373,0.6975968162405977,4.975869435345097e-05,3.7642153740628324e-05,0.7320327102411953
2013-03-25,7.243408887933498e-05,0.5420231747776739,0.0001233395901111209,0.7181482655664966,5.123191703017094e-05,3.926836852056891e-05,0.7072901422908228
2013-03-26,7.339742545776695e-05,0.5463727885953042,0.00012234548053166946,0.6936046175370427,5.177539734496551e-05,3.7325149069969374e-05,0.705411627479457
2013-03-27,7.311742529462491e-05,0.5455036319142051,0.00011575786631958424,0.6622749223670886,5.01860884895499e-05,3.9308180595292807e-05,0.6863765824265045
2013-03-28,6.422356192814954e-05,0.539215978005051,0.00010817268273445246,0.6628300371176531,4.494369216271374e-05,3.9582007102776986e-05,0.6998006777169217
2013-04-01,6.678777769649997e-05,0.5405771488416667,0.00010268150640050759,0.6541854237059644,4.476641284338088e-05,3.920394096252003e-05,0.6702785208217352
2013-04-02,6.451960799026473e-05,0.5405309270690535,9.892402798341846e-05,0.626618136005388,4.31834467730984e-05,4.048434857503642e-05,0.6693073333553776
2013-04-03,6.836168011312682e-05,0.5473662434996027,9.811487982800226e-05,0.6126673389338557,4.4828252825502516e-05,3.881840859857992e-05,0.6557511862101615
2013-04-04,6.901245142532413e-05,0.5503487810982763,9.43747404381685e-05,0.6180335296541892,4.44149953802445e-05,4.089616565958328e-05,0.64357944780884
2013-04-05,6.697476452894188e-05,0.5506003368617314,9.66401552879716e-05,0.5975398141502536,4.429664966546858e-05,3.910520584448073e-05,0.661393137803816
2013-04-08,7.273438811092278e-05,0.5545237692072578,9.578117182778849e-05,0.576265536077977,4.6283920017004926e-05,3.904237401972957e-05,0.6363416427786557
2013-04-09,7.022991067372413e-05,0.5562759084236657,9.484364380373837e-05,0.583357865111809,4.539995527810218e-05,4.053628131859495e-05,0.6464475725880163
2013-04-10,6.636144982931065e-05,0.5511617224245728,9.422300628552159e-05,0.5224523052018962,4.3582833277918655e-05,3.719882953178176e-05,0.6567492631643637
2013-04-11,6.716170407401359e-05,0.5443262133672151,9.196760052437282e-05,0.5142693303342164,4.277967989747751e-05,3.710548392926228e-05,0.6369653731586891
2013-04-12,6.98842565011876e-05,0.5273389467801677,8.948246013138796e-05,0.5173642484278047,4.1701193021730536e-05,3.780074267633855e-05,0.5967179892802018
2013-04-15,9.593981606210937e-05,0.5480501263357841,9.213236264183093e-05,0.4921995074751383,5.1525928569816374e-05,2.9707333591629447e-05,0.5370651173279256
2013-04-16,8.836558039441448e-05,0.5513119886564734,9.127424678256306e-05,0.5373511792939168,4.9512303591028554e-05,3.296361981033227e-05,0.5603120962939795
2013-04-17,8.959564094882932e-05,0.5537267718444865,9.331137366700019e-05,0.5973349356551316,5.062980483102208e-05,4.245148238298689e-05,0.5650922778702843
2013-04-18,9.719405369416862e-05,0.5313687899546089,0.00010166093352217739,0.6591177909324695,5.281933596163355e-05,4.623491566832962e-05,0.5434420517929541
2013-04-19,7.72897485213767e-05,0.5339622186893094,9.873333024520292e-05,0.5861190287510454,4.664481436230928e-05,4.253349769024151e-05,0.6035058368628061
2013-04-22,7.797978274745508e-05,0.5293723102394003,9.459668502089504e-05,0.5623611438377862,4.546636040980393e-05,4.169936587052058e-05,0.583053181323306
2013-04-23,8.499754389235151e-05,0.5387162337045915,8.800909510117078e-05,0.5830277012688572,4.659368173427509e-05,4.3119746032589565e-05,0.5481768013589369
2013-04-24,7.773768893068322e-05,0.5334891148719217,8.689993942179103e-05,0.5890275408155756,4.384813358533117e-05,4.396246343483897e-05,0.5640524459690263
2013-04-25,6.90805921567358e-05,0.5242543329116216,8.721284943767506e-05,0.5800085816344996,4.0692117740300104e-05,4.337216296024402e-05,0.589052821782049
2013-04-26,7.034557142953508e-05,0.5465106946673169,8.55893520908998e-05,0.578640821733153,4.240596156571448e-05,4.3607763602252845e-05,0.6028234713850095
2013-04-29,6.776168711759701e-05,0.5588339151950189,8.441062984850194e-05,0.5834114105477648,4.226427571876724e-05,4.3458210670833835e-05,0.6237193540565145
2013-04-30,5.8041023931509805e-05,0.5385496572223628,8.172338067698473e-05,0.5847443199929051,3.7090821171824724e-05,4.3497156867806505e-05,0.639044914431438
2013-05-01,6.311211636341748e-05,0.538786790022,8.160904782996258e-05,0.5775018087712055,3.866717700167065e-05,4.322699974778076e-05,0.6126743837746476
2013-05-02,6.214021471172626e-05,0.5219556590065879,8.11903845310814e-05,0.5933372219149977,3.707424234254657e-05,4.375115932614575e-05,0.5966223727184904
2013-05-03,7.476459886581012e-05,0.5316448360821802,7.88459768410871e-05,0.6171921019634832,4.08187191351849e-05,4.485711950653941e-05,0.5459631932012052
2013-05-06,7.535412832838797e-05,0.5340536309207792,7.733992677117497e-05,0.6205344787427882,4.076995908090558e-05,4.504025865880364e-05,0.541044797217121
2013-05-07,7.392273390092128e-05,0.5347405862170359,7.531424015061083e-05,0.6511220177742073,3.989979894614176e-05,4.9446163490825066e-05,0.5397500449539583
2013-05-08,6.958015556766957e-05,0.5296207128136505,7.316773056798127e-05,0.655953952628509,3.778917856183291e-05,4.958275067954882e-05,0.5431028179447138
2013-05-09,7.111722928104653e-05,0.5352536770693749,7.169286479842423e-05,0.6550599322305142,3.821950350642585e-05,4.949145911371325e-05,0.5374155305655551
2013-05-10,7.562958883543677e-05,0.5641215026618226,7.113259911328465e-05,0.6629157179676378,4.137641532776341e-05,5.0271749087804515e-05,0.5470929561417397
2013-05-13,7.357910230951406e-05,0.5792767690985007,7.02108229083334e-05,0.670383075378936,4.163565356929745e-05,5.0895941004384175e-05,0.565862483537174
2013-05-14,7.590263764609063e-05,0.5915645831491582,6.918830047250333e-05,0.6964319906541226,4.286935313705888e-05,5.175492563107774e-05,0.5647939843269316
2013-05-15,7.650099964197039e-05,0.5917494785416455,6.880181279027063e-05,0.6866487575587295,4.2931037054777466e-05,5.068123469944232e-05,0.5611826937647546
2013-05-16,7.639729836462006e-05,0.5894196039054247,6.872739066296227e-05,0.6807934073804435,4.270989507443831e-05,4.9871338305607124e-05,0.5590498092039529
2013-05-17,7.425705624970095e-05,0.6020493819411272,7.038700129025306e-05,0.6999983075831826,4.352584496788755e-05,5.003229246694446e-05,0.5861509621594088
2013-05-20,7.217439206379002e-05,0.593548275184872,7.457054859382499e-05,0.7040910097841534,4.354429700638275e-05,5.056956122586806e-05,0.6033205928204691
2013-05-21,7.13709588975209e-05,0.5938258121860105,7.784930508261021e-05,0.7021666463164011,4.426364838932648e-05,5.048561231040538e-05,0.6201913085248458
2013-05-22,7.35750525384875e-05,0.5977948487887923,8.09245804008212e-05,0.7234210332297308,4.6127263086527594e-05,5.10294806888934e-05,0.6269416262040476
2013-05-23,7.454058968752127e-05,0.5938374850350262,8.446284458867385e-05,0.7129664625186451,4.711908758814881e-05,5.0312201503580676e-05,0.632126574067564
2013-05-24,7.630250921850573e-05,0.6002289186943122,8.394945686368082e-05,0.7156439879004931,4.8039145196850696e-05,5.0477391501143094e-05,0.6295880134070311
2013-05-28,7.438631671877e-05,0.6394692020687821,7.0165941450415e-05,0.7249868908092574,4.619865572490503e-05,5.062074270606593e-05,0.6210638967320674
2013-05-29,7.273626036607267e-05,0.6353186827360928,7.316578734383043e-05,0.69702408839645,4.63469475389128e-05,4.979135898050084e-05,0.6371917844779798
2013-05-30,7.309916508279677e-05,0.6357615230205534,7.11122389137583e-05,0.6984765666661692,4.5837679624009503e-05,4.976931517211681e-05,0.6270616028526568
