Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_LBTY.K,Predicted_Covariance,Future_Cov_45_LBTY.K,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5291846000802319,0.00015658142481439087,0.8746991625389399,4.9099288909328114e-05,4.790615721500897e-05,0.8930575216399872
2013-03-01,5.488021190183326e-05,0.5233254994589934,0.00015529529215610558,0.8759465446411367,4.8312435499684974e-05,4.79288432880044e-05,0.8803252360997372
2013-03-04,5.501029900576039e-05,0.5246210286126098,0.00015361767951242763,0.9084395991157678,4.82267835195475e-05,4.9666448081654085e-05,0.8766864458325785
2013-03-05,5.845535101370509e-05,0.5163248005511056,0.00015366433966034317,0.9040231276623778,4.893523399197616e-05,4.84509152229117e-05,0.8371386561429268
2013-03-06,5.9250468430820016e-05,0.5237941898366172,0.00015087368796808584,0.9520355601201508,4.952372735867197e-05,5.13758703238122e-05,0.8358368915934421
2013-03-07,5.369174155549812e-05,0.534622828929705,0.00014943759670990267,0.9492632606482636,4.7888494316302524e-05,5.130951316159052e-05,0.8919154590432291
2013-03-08,4.524810700565277e-05,0.5438385634487941,0.00013573461658854724,0.9458529282261284,4.262020337234915e-05,5.091979571594158e-05,0.9419223519566173
2013-03-11,4.8373919939468494e-05,0.5333936366360884,0.00013937635593317806,0.9280624734888034,4.379736914651302e-05,5.155976400389888e-05,0.9053921865608116
2013-03-12,5.1431479865635213e-05,0.5227784131162585,0.00014426807426237115,0.8947105232371849,4.503158920105268e-05,4.976569025021667e-05,0.8755647187033652
2013-03-13,5.5261000285198275e-05,0.5112232376159519,0.00014884660809514743,0.9162494225197394,4.636491079722185e-05,5.172585094847876e-05,0.8390168574208879
2013-03-14,6.195858588029715e-05,0.4953353705515048,0.0001571532783016594,0.8827973870946432,4.8877818224771696e-05,5.090281356547306e-05,0.7888788540010055
2013-03-15,6.386120353979619e-05,0.4967989972367511,0.00016175039033389696,0.8572534672277876,5.049192504002854e-05,4.845834547888344e-05,0.790651009396709
2013-03-18,6.402550064969363e-05,0.5028462833812841,0.00016614918068460474,0.8248482894043635,5.18633825384268e-05,4.567123612792863e-05,0.8100425925943145
2013-03-19,6.71640875084588e-05,0.5145330677052875,0.00016366579366402275,0.8336525735354178,5.394619411832311e-05,4.742213613647401e-05,0.8031999855805233
2013-03-20,6.839791392936718e-05,0.5309336655076264,0.000172179088463724,0.8064619049057364,5.7617166184180594e-05,4.566893875517035e-05,0.8423819218182649
2013-03-21,6.814178529168062e-05,0.5251950078369282,0.00017128183350177497,0.8015584751737916,5.673917213213183e-05,4.365722491871644e-05,0.8326634221463386
2013-03-22,6.79733209422515e-05,0.5235795070972932,0.00017213381610143886,0.7660268490318425,5.663501014771289e-05,4.1334621588583395e-05,0.8331946911322552
2013-03-25,7.243408887933498e-05,0.5604393520720184,0.00017153472809409122,0.7427046876930763,6.247066835621436e-05,4.0611114412815113e-05,0.8624484593197785
2013-03-26,7.339742545776695e-05,0.5869816145908212,0.00018217910747503422,0.6692159114960649,6.787568051572129e-05,3.601271246619405e-05,0.9247692285171107
2013-03-27,7.311742529462491e-05,0.603943351632487,0.00017593599807253854,0.7051419629975795,6.849896419383872e-05,4.1852479522793345e-05,0.9368350146059409
2013-03-28,6.422356192814954e-05,0.5695744245688751,0.00017503457817634991,0.6926290227146376,6.038924506262789e-05,4.136150349476989e-05,0.9402973495955999
2013-04-01,6.678777769649997e-05,0.5491340615846532,0.00017156962722587968,0.6788556547766782,5.878236879805315e-05,4.068237543595871e-05,0.880136618187457
2013-04-02,6.451960799026473e-05,0.5437553800450288,0.00017213752948190458,0.7142924316274232,5.730429974556217e-05,4.614878204908249e-05,0.8881687525784214
2013-04-03,6.836168011312682e-05,0.5330937495568194,0.00016969011111967605,0.7217169438301111,5.74166991324322e-05,4.572775703511138e-05,0.8398959627296673
2013-04-04,6.901245142532413e-05,0.5310240819802117,0.00016669554637777786,0.8417994622050232,5.6956060477299534e-05,5.5703078565571466e-05,0.8253012217502463
2013-04-05,6.697476452894188e-05,0.5272067855000996,0.0001636849699356354,0.8511215591197642,5.520024311315972e-05,5.5700529035684535e-05,0.8241946575162049
2013-04-08,7.273438811092278e-05,0.5270052405031124,0.00015918782911498636,0.8833052719212557,5.6707403020454646e-05,5.984452069554642e-05,0.7796505132341753
2013-04-09,7.022991067372413e-05,0.5325788673641556,0.00015057438461246053,0.8661748074673434,5.476719977443269e-05,6.018862137025689e-05,0.7798272737220401
2013-04-10,6.636144982931065e-05,0.5318663884621448,0.00014684390971221145,0.90292063686998,5.250352329826546e-05,6.428833889186245e-05,0.7911750486662154
2013-04-11,6.716170407401359e-05,0.4864858266495194,0.00012895888684240787,0.8896099254972646,4.527481488110818e-05,6.418700250391881e-05,0.6741165297297163
2013-04-12,6.98842565011876e-05,0.4927470283868626,0.0001322188114199323,0.8344591892556033,4.7365302225458755e-05,6.096899270255402e-05,0.6777678492530551
2013-04-15,9.593981606210937e-05,0.455457075002414,0.00014133700351174987,0.8214398732545928,5.303649719309538e-05,4.957905883616232e-05,0.5528100779217744
2013-04-16,8.836558039441448e-05,0.470980311340702,0.00015293734497599204,0.8715780624812675,5.4752139305159835e-05,5.3466650849097266e-05,0.6196093440542906
2013-04-17,8.959564094882932e-05,0.4835576519617976,0.00016612800652400096,0.8651990237330157,5.899471769824221e-05,6.14880846932161e-05,0.6584552225251206
2013-04-18,9.719405369416862e-05,0.49167194358120087,0.00017489658864023105,0.8372840456246676,6.410412017617829e-05,5.8732684464681025e-05,0.6595477577042798
