Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_FDX,Predicted_Covariance,Future_Cov_45_FDX,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.7228286013729729,0.0002594621399867168,0.9433801431383452,8.633168380989892e-05,5.166772690112344e-05,1.5702703907719462
2013-03-01,5.488021190183326e-05,0.7242574939832733,0.00026186267780512666,0.9526984120942036,8.682358011331874e-05,5.21284468479761e-05,1.582056211237377
2013-03-04,5.501029900576039e-05,0.7258916670356995,0.00026578566648132623,0.9983148907307148,8.777272703493475e-05,5.458013360258713e-05,1.5955689865591105
2013-03-05,5.845535101370509e-05,0.7218358145930157,0.0002683427684255215,0.9852805392678018,9.040563699289148e-05,5.280588783418551e-05,1.5465758981020492
2013-03-06,5.9250468430820016e-05,0.7235493064170566,0.0002713825605069069,1.001450237717474,9.174977196320196e-05,5.404249557887387e-05,1.548507115523106
2013-03-07,5.369174155549812e-05,0.6821742478172393,0.0002723108208947232,1.000617243664924,8.24862416056575e-05,5.408529515666545e-05,1.5362929049413705
2013-03-08,4.524810700565277e-05,0.6698639035564161,0.00027390730786164676,0.9939516942900752,7.457419826775303e-05,5.35091827856189e-05,1.648117528064469
2013-03-11,4.8373919939468494e-05,0.6737695204785447,0.00027758298476981253,1.0414856109186137,7.807525694648076e-05,5.7861139574531193e-05,1.6139948353199058
2013-03-12,5.1431479865635213e-05,0.6836934629699554,0.00027821164951955435,1.0245582933089443,8.178310468832749e-05,5.698809765154284e-05,1.590137108673247
2013-03-13,5.5261000285198275e-05,0.6925460332374813,0.00027826171382727965,1.0378516573884378,8.58785582562005e-05,5.859077104689753e-05,1.5540536329959118
2013-03-14,6.195858588029715e-05,0.6705445123326245,0.00028070214252216613,1.0419304868897654,8.843032576565807e-05,6.007855720652062e-05,1.4272489358699023
2013-03-15,6.386120353979619e-05,0.663643550938494,0.00028230706221986753,1.0661192735179243,8.910750820820149e-05,6.026499518852375e-05,1.3953308623861533
2013-03-18,6.402550064969363e-05,0.6594404809261576,0.00028458957774696395,1.0434547159114351,8.901467095006627e-05,5.777531132858994e-05,1.3903002717166917
2013-03-19,6.71640875084588e-05,0.6556705240060091,0.00028455610383753795,1.0912998730759582,9.064381432155457e-05,6.20783438924109e-05,1.3495875204161552
2013-03-20,6.839791392936718e-05,0.6608972232048054,0.00034903604129311926,1.2604702198964624,0.00010211522356401129,7.137886727817123e-05,1.4929581576049693
2013-03-21,6.814178529168062e-05,0.6572911299872264,0.0003490718354901715,1.2100543458992143,0.00010137291392131394,6.5906127099883e-05,1.4876762252029003
2013-03-22,6.79733209422515e-05,0.6730375766462784,0.000345512585286647,1.1406034034209158,0.00010314317407896599,6.154668093245141e-05,1.5174067214781803
2013-03-25,7.243408887933498e-05,0.7464606819583558,0.00034182435999055805,1.0896229323385218,0.00011745728087084366,5.9580614348180294e-05,1.621574629957878
2013-03-26,7.339742545776695e-05,0.7846724416592114,0.0003356835966028951,1.086508474529504,0.00012316686099183923,5.8468599764523504e-05,1.6780814888760607
