Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_BIIB,Predicted_Covariance,Future_Cov_45_BIIB,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5120060452523105,0.00041238145987573246,1.3870557702860429,7.709434793016938e-05,7.59672749707823e-05,1.4022542652728227
2013-03-01,5.488021190183326e-05,0.5218569200582605,0.00041134071254364936,1.3719653664947618,7.840796540942914e-05,7.506932180917127e-05,1.4287110543538177
2013-03-04,5.501029900576039e-05,0.5317250103274601,0.00040689259165376787,1.33866336723066,7.955161164009052e-05,7.318775479634419e-05,1.4461221458141917
2013-03-05,5.845535101370509e-05,0.5394232852159923,0.0004020057484491742,1.3370538519443795,8.269094548378832e-05,7.165909902829233e-05,1.4146001016126153
2013-03-06,5.9250468430820016e-05,0.5441698600091663,0.0003938262118766466,1.3469038383866516,8.312519688265665e-05,7.268463473240921e-05,1.4029458177147143
2013-03-07,5.369174155549812e-05,0.5367655142597522,0.00040500758440128163,1.359437098823586,7.915346467722056e-05,7.348020154789195e-05,1.4742204738396147
2013-03-08,4.524810700565277e-05,0.5293350051159971,0.00039272484848088283,1.358850979372379,7.056267117622004e-05,7.315345992300701e-05,1.559461286798247
2013-03-11,4.8373919939468494e-05,0.5327692793233597,0.0003850277712453191,1.4067898420281968,7.270944722589913e-05,7.81561094539088e-05,1.50307122757226
2013-03-12,5.1431479865635213e-05,0.5376950679121445,0.0003804736877389917,1.383540492396246,7.521645779368669e-05,7.695544626445774e-05,1.462459528487023
2013-03-13,5.5261000285198275e-05,0.5404613763554458,0.0003794808835573876,1.367971944133018,7.826525153735537e-05,7.722734786487797e-05,1.4162836563477625
2013-03-14,6.195858588029715e-05,0.5170032901155798,0.0003883681764382373,1.3077931153532116,8.019843127160925e-05,7.540841206171028e-05,1.294387696752007
2013-03-15,6.386120353979619e-05,0.5061259394956439,0.00040079510952269046,1.326036581696712,8.09726499241371e-05,7.495745570011533e-05,1.26794744595876
2013-03-18,6.402550064969363e-05,0.49896588515166185,0.00041193826339187004,1.3144587964335888,8.103327881148164e-05,7.278060565016426e-05,1.2656406898689265
2013-03-19,6.71640875084588e-05,0.49551020599771634,0.0004184788099829519,1.2657948739891438,8.307261841554777e-05,7.200445214317347e-05,1.2368606720829107
2013-03-20,6.839791392936718e-05,0.49440882404217207,0.00042424704155497815,1.2680005892932624,8.422035209473422e-05,7.180530276966121e-05,1.2313292505047226
2013-03-21,6.814178529168062e-05,0.4760292919150171,0.0004377304481682962,1.2512280432844058,8.221362725443926e-05,6.814867012469594e-05,1.2065082665874423
2013-03-22,6.79733209422515e-05,0.4630422291241767,0.0004460385781449884,1.2906961018088696,8.062617480954082e-05,6.964564626103842e-05,1.1861444121295601
2013-03-25,7.243408887933498e-05,0.45616453494732073,0.0004625033025658119,1.2824842357170814,8.349307140573623e-05,7.012627615306205e-05,1.1526764911038498
2013-03-26,7.339742545776695e-05,0.44845858971912583,0.0004694060308740374,1.3011683802256984,8.324096238931716e-05,7.002015633850826e-05,1.134112836658204
2013-03-27,7.311742529462491e-05,0.4431318730629315,0.0004982385650985214,1.263500968778274,8.457891384452459e-05,7.499291092821262e-05,1.1567545424871826
2013-03-28,6.422356192814954e-05,0.4358681418398145,0.0005672183549599687,1.1362066082131206,8.319121348684071e-05,6.785048280564157e-05,1.2953378945239962
2013-04-01,6.678777769649997e-05,0.4401274796227942,0.0005686505357944007,1.210985315365146,8.577282371494397e-05,7.25717741326391e-05,1.284259286253193
2013-04-02,6.451960799026473e-05,0.4446294099535233,0.0005802539182859677,1.235328926460875,8.603062669981878e-05,7.981174496876961e-05,1.3334028116351826
2013-04-03,6.836168011312682e-05,0.46278164699044994,0.000584160213520335,1.2906226367223903,9.248013997479274e-05,8.177344159727655e-05,1.3528067160104027
2013-04-04,6.901245142532413e-05,0.4732731739888721,0.0005766265841414059,1.2952856781927695,9.44110757480497e-05,8.57109123213705e-05,1.368029591735464
2013-04-05,6.697476452894188e-05,0.4598277615002231,0.000585260883740588,1.2859383345429087,9.103859251082402e-05,8.415654000749897e-05,1.3592969404391622
2013-04-08,7.273438811092278e-05,0.45670117814625283,0.0005831425386519059,1.2373517989569005,9.405662441298843e-05,8.38314087940248e-05,1.293152068173701
2013-04-09,7.022991067372413e-05,0.45216218820108073,0.0005855116462799393,1.4486241921900018,9.169023142722324e-05,0.00010066177434374973,1.3055723771770122
2013-04-10,6.636144982931065e-05,0.4501884256498689,0.0005887817954480018,1.3828040126135492,8.898758990678807e-05,9.845624228071405e-05,1.3409530704298125
2013-04-11,6.716170407401359e-05,0.4434426812067939,0.0005857176544409186,1.3352600910540808,8.795134841379406e-05,9.634148670268516e-05,1.3095461115291216
2013-04-12,6.98842565011876e-05,0.4395331616458287,0.0006155757483184186,1.3042180501592613,9.116372711000955e-05,9.529149155111372e-05,1.304495914733819
2013-04-15,9.593981606210937e-05,0.43790331047345066,0.0006785803603865079,1.2305976344508542,0.00011173219024564321,7.4274301149211e-05,1.1646070925684304
2013-04-16,8.836558039441448e-05,0.4384660166476899,0.0006812928065260862,1.322489279785786,0.00010758318757898283,8.11276414790451e-05,1.2174784242777754
2013-04-17,8.959564094882932e-05,0.4421338789959223,0.0006845759954619431,1.3612781306593311,0.00010949847433736051,9.674350374074522e-05,1.2221406440956015
2013-04-18,9.719405369416862e-05,0.44117862999626684,0.0007127923366099249,1.3213035170288008,0.00011612235276315951,9.268503676052824e-05,1.194747500999915
2013-04-19,7.72897485213767e-05,0.436330214139897,0.0007116349900892966,1.1888313766205751,0.00010233044933084635,8.627113970233445e-05,1.3239847623846768
2013-04-22,7.797978274745508e-05,0.4330065041631978,0.0007466211157582996,1.0738728915323272,0.00010448057752887215,7.962822306115312e-05,1.3398418647464359
2013-04-23,8.499754389235151e-05,0.42924538904150156,0.0007388925247308572,1.244049751652221,0.00010757205452465381,9.200782265817768e-05,1.2655901523565514
