Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_CELG,Predicted_Covariance,Future_Cov_45_CELG,Beta_Predicted
2013-02-28,5.497886498863307e-05,0.5069639152646194,0.0003171301617617802,1.2492132482541314,6.694123302826199e-05,6.84178158948111e-05,1.2175812112909599
2013-03-01,5.488021190183326e-05,0.5069282334298394,0.0003168450856894699,1.231857870410117,6.684637447489919e-05,6.740311173688125e-05,1.2180414790393002
2013-03-04,5.501029900576039e-05,0.5071142188549078,0.0003117331568542922,1.2397380718164748,6.640783004099227e-05,6.777928509353374e-05,1.2071890398930278
2013-03-05,5.845535101370509e-05,0.510601571705231,0.0003046720689366164,1.1974824931316723,6.814132977001573e-05,6.417880359506913e-05,1.1656987527803866
2013-03-06,5.9250468430820016e-05,0.5157817910748397,0.00030166381015852417,1.193366649057075,6.895622944842567e-05,6.439911782599936e-05,1.1638090174584519
2013-03-07,5.369174155549812e-05,0.5200261107981802,0.0002993276879417856,1.2221296062079312,6.592533440729125e-05,6.605846630161612e-05,1.2278486876635946
2013-03-08,4.524810700565277e-05,0.5152142797123979,0.0003023785739745449,1.2152372677237704,6.026478425504179e-05,6.542204561859736e-05,1.3318741543709887
2013-03-11,4.8373919939468494e-05,0.5186999919923196,0.00030165554869795313,1.1779042593856397,6.265814611547119e-05,6.544006181480827e-05,1.2952877541013195
2013-03-12,5.1431479865635213e-05,0.5219510846928683,0.0003055029037106056,1.1835187871879764,6.54262435547147e-05,6.582981628002527e-05,1.2721050167259589
2013-03-13,5.5261000285198275e-05,0.5300897181234452,0.00031392500315057155,1.290624736906358,6.981869147214753e-05,7.286079655913769e-05,1.2634351733015687
2013-03-14,6.195858588029715e-05,0.5430304819755681,0.0003156427567017003,1.2813357345623468,7.594039834812483e-05,7.388285802007403e-05,1.2256638409217453
2013-03-15,6.386120353979619e-05,0.5345403686895691,0.0003158028137297622,1.2631140014786069,7.591140961010109e-05,7.140060320876049e-05,1.188693688849688
2013-03-18,6.402550064969363e-05,0.5284136108999822,0.00031050486471347023,1.2702210002528938,7.450487519981983e-05,7.033119178691105e-05,1.1636750114218177
2013-03-19,6.71640875084588e-05,0.5203808529317308,0.00030799656373908254,1.2306046256844785,7.484500187420152e-05,7.000266291015633e-05,1.1143604365171398
