Symbol,Start Date,End Date
AABA,2010-01-04,2015-12-31
AAL,2013-12-09,2015-12-31
AAPL,2010-01-04,2015-12-31
ABBV,2012-12-10,2015-12-31
ABT,2010-01-04,2015-12-31
ACN,2010-01-04,2015-12-31
AET,2010-01-04,2015-12-31
AGG,2010-01-04,2015-12-31
AGN,2010-01-04,2015-12-31
AIG,2010-01-04,2015-12-31
ALXN,2010-01-04,2015-12-31
AMGN,2010-01-04,2015-12-31
AMJ,2010-01-04,2015-12-31
AMLP,2010-08-25,2015-12-31
AMZN,2010-01-04,2015-12-31
ANDV,2010-01-04,2015-12-31
APC,2010-01-04,2015-12-31
ATVI,2010-01-04,2015-12-31
AVGO,2010-01-04,2015-12-31
AXP,2010-01-04,2015-12-31
BA,2010-01-04,2015-12-31
BABA,2014-09-19,2015-12-31
BAC,2010-01-04,2015-12-31
BDX,2010-01-04,2015-12-31
BHC,2010-01-04,2015-12-31
BIDU,2010-01-04,2015-12-31
BIIB,2010-01-04,2015-12-31
BK,2010-01-04,2015-12-31
BKNG,2010-01-04,2015-12-31
BLK,2010-01-04,2015-12-31
BMY,2010-01-04,2015-12-31
BND,2010-01-04,2015-12-31
BP,2010-01-04,2015-12-31
BRCM,2010-01-04,2015-12-31
BRK.B,2010-01-04,2015-12-31
C,2010-01-04,2015-12-31
CAT,2010-01-04,2015-12-31
CB,2010-01-04,2015-12-31
CELG,2010-01-04,2015-12-31
CMCS.A,2010-01-04,2015-12-31
CMG,2010-01-04,2015-12-31
CMRX,2013-04-11,2015-12-31
COP,2010-01-04,2015-12-31
COST,2010-01-04,2015-12-31
CRM,2010-01-04,2015-12-31
CSCO,2010-01-04,2015-12-31
CVS,2010-01-04,2015-12-31
CVX,2010-01-04,2015-07-30
DAL,2010-01-04,2015-12-31
DBEF,2011-06-09,2015-12-31
DD,2010-01-04,2015-12-31
DIA,2010-01-04,2015-12-31
DIS,2010-01-04,2015-12-31
DOW,2010-01-04,2015-12-31
DUK,2010-01-04,2015-12-31
DWTI.F,2012-02-08,2015-12-31
DXJ,2010-01-04,2015-12-31
EEM,2010-01-04,2015-12-31
EFA,2010-01-04,2015-12-31
EOG,2010-01-04,2015-12-31
EPD,2010-01-04,2015-12-31
ESRX,2010-01-04,2015-12-31
EWG,2010-01-04,2015-12-31
EWJ,2010-01-04,2015-12-31
EWZ,2010-01-04,2015-12-31
EXPE,2010-01-04,2015-12-31
EZU,2010-01-04,2015-12-31
F,2010-01-04,2015-12-31
FB,2012-05-18,2015-12-31
FDX,2010-01-04,2015-12-31
FXI,2010-01-04,2015-12-31
GDX,2010-01-04,2015-12-31
GE,2010-01-04,2015-12-31
GILD,2010-01-04,2015-12-31
GLD,2010-01-04,2015-12-31
GM,2010-11-18,2015-12-31
GOOG,2014-03-27,2015-12-31
GOOG.L,2010-01-04,2015-12-31
GS,2010-01-04,2015-12-31
HAL,2010-01-04,2015-12-31
HD,2010-01-04,2015-12-31
HEDJ,2010-01-04,2015-12-31
HON,2010-01-04,2015-12-31
HYG,2010-01-04,2015-12-31
IBB,2010-01-04,2015-12-31
IBM,2010-01-04,2015-12-31
ICE,2010-01-04,2015-12-31
IEF,2010-01-04,2015-12-31
IEFA,2012-10-22,2015-12-31
IEMG,2012-10-22,2015-12-31
IJH,2010-01-04,2015-12-31
ILMN,2010-01-04,2015-12-31
INTC,2010-01-04,2015-12-31
IVV,2010-01-04,2015-12-31
IWB,2010-01-04,2015-12-31
IWD,2010-01-04,2015-12-31
IWF,2010-01-04,2015-12-31
IWM,2010-01-04,2015-12-31
IWN,2010-01-04,2015-12-31
IWR,2010-01-04,2015-12-31
IYR,2010-01-04,2015-12-31
JNJ,2010-01-04,2015-12-31
JPM,2010-01-04,2015-12-31
KMB,2010-01-04,2015-12-31
KMI,2011-02-11,2015-12-31
KO,2010-01-04,2015-12-31
KR,2010-01-04,2015-12-31
LBTY.A,2010-01-04,2015-12-31
LBTY.K,2010-01-04,2015-12-31
LLY,2010-01-04,2015-12-31
