Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d
2010-01-05,43821,APC,66.56,4087884.0,1.0,66.56,0.027724548014854983,0.0026436391850606,,1.5089545718355344,,,,,
2010-01-06,43821,APC,67.14,3211967.0,1.0,67.14,0.008676195038935696,0.0007037917067137724,,1.508730532998838,,,,,
2010-01-07,43821,APC,67.03,2761566.0,1.0,67.03,-0.001639711182022486,0.004212380076925267,,1.516877886706497,,,,,
2010-01-08,43821,APC,67.06,2662329.0,1.0,67.06,0.0004474606682161615,0.00332226219197786,,1.512437022465201,,,,,
2010-01-11,43821,APC,66.31,3325098.0,1.0,66.31,-0.011247025657306184,0.0013955519055172563,,1.5243679575702598,,,,,0.004792293376535634
2010-01-12,43821,APC,64.14,5458386.0,1.0,64.14,-0.03327252111576745,-0.00937000594207626,,1.4858735783099342,,,,,-0.007407120449588853
2010-01-13,43821,APC,66.47,5104824.0,1.0,66.47,0.0356825237884816,0.008410773254615995,,1.447711505231059,,,,,-0.0020058546996796723
2010-01-14,43821,APC,66.77,2788025.0,1.0,66.77,0.004503159816286889,0.002700938257075907,,1.4466946749808574,,,,,-0.0007772805000177968
2010-01-15,43821,APC,65.89,3801991.0,1.0,65.89,-0.013267192944048798,-0.011287690394680128,,1.442506035477764,,,,,-0.0035202112224707884
2010-01-19,43821,APC,66.92,2843591.0,1.0,66.92,0.015511191192894815,0.012418174449160133,,1.4501259406078901,,,,,0.0018314321475694114
2010-01-20,43821,APC,65.77,3065421.0,1.0,65.77,-0.01733406880536371,-0.010220661148887651,,1.4531880396266632,,,,,0.005019122609650159
2010-01-21,43821,APC,64.15,5661098.0,1.0,64.15,-0.024939716251614067,-0.019416364211104684,,1.4659098540513207,,,,,-0.007105325398368974
2010-01-22,43821,APC,63.13,4473510.0,1.0,63.13,-0.016027998682111282,-0.022544071865518076,,1.6243406340441469,,,,,-0.011211557098048608
2010-01-25,43821,APC,64.93,4048532.0,1.0,64.93,0.028113674140861095,0.005114633489588099,,1.5991160869505066,,,,,-0.002935383681066629
2010-01-26,43821,APC,63.89,3250527.0,1.0,63.89,-0.016146911906143552,-0.004199385393481015,,1.5629493064874147,,,,,-0.009267004300874303
2010-01-27,43821,APC,64.98,5902980.0,1.0,64.98,0.016916675626702394,0.00474583349451048,,1.5687725253206597,,,,,-0.0024168554144610816
2010-01-28,43821,APC,65.38,6639903.0,1.0,65.38,0.006136871055110255,-0.01153858955649378,,1.6599581480115233,,,,,0.0037984620468837827
2010-01-29,43821,APC,63.78,4575082.0,1.0,63.78,-0.024776739714152892,-0.010928058373635528,,1.6303307745951265,,,,,0.0020487138404754615
2010-02-01,43821,APC,65.1,4089027.0,1.0,65.1,0.020484887632611932,0.015431121627790404,,1.6796064051891313,,,,,0.000522956538825628
