Symbol,Total_Gain
VXX,2499.0043760000003
TLT,1336.7462819999998
WMT,1305.213486
SPY,882.703634
REGN,442.80344
IWB,426.142591
CELG,407.446052
NFLX,349.99263
WMB,313.914744
KO,306.985515
PEP,298.384442
KMB,291.511681
SLB,286.343297
MET,281.03281999999996
DUK,275.95077
EEM,261.769778
AGN,248.60102700000002
IEF,226.468002
FDX,223.907259
BAC,206.55333
EPD,202.10884499999997
C,188.985128
ICE,174.531215
ORCL,168.17148
ALXN,160.749784
MDY,158.58449000000002
NKE,155.746938
LMT,151.68063
CRM,151.245073
AABA,139.840742
XOM,139.566328
ABT,139.043496
VIX,135.964006
AMLP,134.162213
GDX,131.439711
TXN,126.794816
IJH,124.575445
TWX,122.402044
UPS,116.721851
COP,116.310194
HAL,115.666658
MO,115.21347300000001
AAPL,112.738263
XLI,112.369192
SPG,99.815865
HYG,99.601733
MDT,98.103993
IWM,97.50245
AMGN,95.728234
DXJ,95.004275
GE,94.401843
SWKS,93.167421
PXD,92.957527
BA,92.61910900000001
BLK,90.557012
VNQ,89.092686
PG,88.24408100000001
ILMN,88.033722
MRK,86.99678
UTX,86.894644
CMG,86.338266
INTC,85.979804
VOO,85.600748
DIA,84.260158
XLV,83.856207
SO,83.022873
BK,82.702096
WFC,81.31216
HEDJ,80.543269
IBB,79.903376
VWO,78.667323
LLY,77.070638
AXP,75.56471
COST,75.133526
CB,74.184383
DIS,70.26912300000001
TGT,70.01562799999999
WW,69.524044
CVX,69.39551900000001
JNJ,68.866356
MS,66.779245
EXPE,66.484168
SHY,66.409001
XLK,64.446883
OXY,62.834337
APC,62.788767
HD,62.405867
IVV,61.656587
XLY,61.186814999999996
KR,60.980375
TQQQ,60.971854
XLP,58.503597
VTI,55.874432999999996
EFA,55.702898
MMM,55.214146
BND,54.819483
ATVI,54.136016
AIG,53.319026
SPXU,52.490711
VZ,50.474909999999994
SBUX,50.402788
BIDU,50.071831
GLD,49.819438
VGK,49.481693
CAT,49.195524
AMZN,48.939192
CVS,47.506512
DAL,47.353209
EOG,47.123686
VEU,45.928806
MDLZ,45.885995
BMY,45.600831
MCK,45.016219
SSO,44.998536
PM,44.421947
GILD,43.473616
IBM,43.323254
SCHW,42.848699
XOP,41.664244000000004
AMJ,41.033271
EWG,40.928747
UPRO,40.890292
EWJ,40.170256
GS,39.755123
MA,39.736053
EWZ,39.579623
QQQ,39.376839000000004
ESRX,38.869207
BRCM,37.92105
DD,36.83503
UNP,36.019493
F,34.759915
IWF,34.759082
UNH,34.680664
VEA,34.284819
MON,34.144346
WBA,33.361074
USO,32.329861
DOW,31.522691000000002
ANDV,31.316126999999998
USB,30.469732
BKNG,29.990659
IWD,29.548048
TNA,29.495967
VLO,29.328879999999998
BDX,29.187057
VTV,28.946096
V,28.85115
BIIB,28.445767
T,26.895267
UAA,26.235604
BP,25.939907
ACN,25.24975
BHC,25.095313
AGG,24.950941
XLB,24.448046
AET,23.646375
LOW,21.809309
AVGO,21.582704
PFE,21.043406
MSFT,20.381385
QCOM,18.99415
SIG,18.867821
HON,18.863975
TSLA,18.099145
XLF,17.635519
XLU,17.601821
MCD,17.480378
JPM,17.159422
CSCO,15.42996
MU,14.634776
IYR,14.322431
UAL,13.577543
FXI,13.493488
XLE,13.29814
NXPI,13.010872
EZU,11.889595
IWR,9.928518
IWN,9.381717
RQ,3.135751
