Feature,Gain
Variance_45d_MA_VXX,41.53362254237288
Variance_45d_MA_WMT,31.220977775
Close_TLT,15.92059410958904
Variance_45d_MA_IWB,7.992820020408164
Adj_Close_TLT,5.8042670833333325
Variance_45d_MA_REGN,5.249252859375
Variance_5d_MA_NFLX,4.884161571428572
Variance_45d_MA_C,3.7752657608695652
Variance_5d_MA_CELG,3.399294853658537
Adj_Close_SLB,3.258178953846154
Variance_45d_MA_BRK.B,3.2010966875
Close_EEM,3.003169925
Adj_Close_PEP,2.7693028823529415
Variance_45d_MA_PEP,2.6109703076923076
Close_DIS,2.5934923333333333
Variance_45d_MA_MET,2.352077
Beta_45d_KMB,2.2364165339805826
Variance_5d_MA_ORCL,2.1345439242424242
Close_IEF,2.1337966966292132
Adj_Close_DUK,2.0776891875
Variance_45d_MA_WMB,1.9245114722222223
Variance_45d_MA_AGN,1.8933275333333335
Beta_45d_FDX,1.7902438536585366
Close_NKE,1.7869083055555555
Close_HAL,1.76626502
Variance_5d_MA_KO,1.7370052584269664
Beta_45d_BAC,1.6849822056074766
Close_LLY,1.6718859411764706
Close_PEP,1.6515264647887324
Variance_5d_MA_WMB,1.6365199733333333
Variance_45d_MA_GE,1.5000829375
Variance_45d_MA_SPY,1.43761
Variance_45d_KO,1.4006908617021276
Variance_45d_MA_MDY,1.3108360714285716
Variance_45d_MA_IWM,1.2980847460317462
Beta_45d_XOM,1.2949036951219512
Variance_45d_MA_WFC,1.2869678444444443
Variance_5d_MA_ICE,1.1410845544554455
Variance_45d_MA_TXN,1.13975755
Adj_Close_EPD,1.1318774146341464
Variance_45d_UPS,1.106144304347826
Variance_45d_MA_IJH,1.1046587474747476
Variance_5d_MA_CRM,1.0986376666666666
Variance_45d_MA_VOO,1.098325765957447
Adj_Close_ALXN,1.0945310666666666
Variance_45d_MA_VNQ,1.0859696438356166
Beta_45d_XLI,1.0508805777777777
Variance_45d_MA_JNJ,0.9821899117647059
Variance_45d_MA_AABA,0.9645226590909091
Variance_45d_MA_MS,0.9414386274509804
