Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,Beta_45,Future_Beta_45,SPY_Log_Return
2010-01-04,44347,BAC,15.69,181000000.0,1.0,15.69,-0.0653746915261343,,0.8552050550999497,-0.4524903585476407
2010-01-05,44347,BAC,16.2,210000000.0,1.0,16.2,0.2909796846733374,,0.876135351479863,-0.2531901065659378
2010-01-06,44347,BAC,16.39,205000000.0,1.0,16.39,-0.0586487270815075,,0.8278130331587289,-0.573229249571893
2010-01-07,44347,BAC,16.93,321000000.0,1.0,16.93,0.0041432435713345,,0.891580770387283,-0.5595532335913158
2010-01-08,44347,BAC,16.78,220000000.0,1.0,16.78,-0.0094899881848481,,1.0919754195774776,-0.568615184583788
2010-01-11,44347,BAC,16.93,169000000.0,1.0,16.93,0.0094956203099263,,0.4896232328649194,-0.473114796048648
2010-01-12,44347,BAC,16.36,223000000.0,1.0,16.36,0.3412513646440279,,0.5573175216835891,-0.2576971280432469
2010-01-13,44347,BAC,16.62,193000000.0,1.0,16.62,-0.0036036075032985,,0.5408277765534353,-0.5698580439507263
2010-01-14,44347,BAC,16.82,143000000.0,1.0,16.82,0.022243177333421,,0.5233457460796538,-0.5643404112215136
2010-01-15,44347,BAC,16.26,195000000.0,1.0,16.26,0.0136225016812962,,0.539993355838533,-0.5695725909792059
2010-01-19,44347,BAC,16.32,182000000.0,1.0,16.32,0.3818491150368229,,0.3756985662741806,-0.2539857899003737
2010-01-20,44347,BAC,16.49,289000000.0,1.0,16.49,-0.0820465762752018,,0.4093700553794616,-0.5898722730181601
2010-01-21,44347,BAC,15.47,551000000.0,1.0,15.47,0.0136676387286638,,0.479338858413819,-0.5927232314930553
2010-01-22,44347,BAC,14.9,370000000.0,1.0,14.9,-0.0336554363806109,,0.5464852359291446,-0.6203273558695568
2010-01-25,44347,BAC,14.98,262000000.0,1.0,14.98,-0.0936094991223073,,0.5817754229632035,-0.4883838241038991
2010-01-26,44347,BAC,14.77,212000000.0,1.0,14.77,0.2398703451195233,,0.5522067176419533,-0.3181126911095728
2010-01-27,44347,BAC,15.19,259000000.0,1.0,15.19,-0.0425321837156081,,0.483728714023317,-0.6262689795291642
2010-01-28,44347,BAC,15.37,233000000.0,1.0,15.37,-0.0167745868828808,,0.6528326719546573,-0.624529243710493
2010-01-29,44347,BAC,15.18,175000000.0,1.0,15.18,-0.0013166558847467,,0.7009544249066413,-0.6225500537921849
2010-02-01,44347,BAC,15.42,160000000.0,1.0,15.42,-0.1034130953734308,,0.2718425128220954,-0.6327689523729032
2010-02-02,44347,BAC,15.6,172000000.0,1.0,15.6,-0.0383574214920934,,0.521048161844778,-0.6430833300754399
2010-02-03,44347,BAC,15.53,131000000.0,1.0,15.53,0.6670891443584721,,0.2140430342292405,-0.2211931847744986
2010-02-04,44347,BAC,14.75,253000000.0,1.0,14.75,-0.0744468977627958,,0.2903723452351111,-0.6546477404848611
2010-02-05,44347,BAC,15.0,298000000.0,1.0,15.0,-0.0513266271653406,,0.3308315832745184,-0.6487678630747029
2010-02-08,44347,BAC,14.48,208000000.0,1.0,14.48,-0.1498002675872316,,0.160472200791137,-0.52877667154777
2010-02-09,44347,BAC,14.47,252000000.0,1.0,14.47,0.2073735981729116,,0.1572035839060644,-0.347681066562138
2010-02-10,44347,BAC,14.67,176000000.0,1.0,14.67,0.2253614145452643,,0.3775412486388712,-0.3459456909838223
2010-02-11,44347,BAC,14.63,141000000.0,1.0,14.63,-0.1154258889922492,,0.4167665839861009,-0.6484662904071393
2010-02-12,44347,BAC,14.45,163000000.0,1.0,14.45,-0.1241449166161598,,0.3914529691391202,-0.6498790428993225
2010-02-16,44347,BAC,15.16,205000000.0,1.0,15.16,0.2312568502276382,,0.2821378582424905,-0.3264900116928224
2010-02-17,44347,BAC,15.66,262000000.0,1.0,15.66,0.6604809594922567,,0.3752081575499563,-0.2101739018018219
2010-02-18,44347,BAC,15.88,242000000.0,1.0,15.88,-0.0461478373858465,,0.355660721665428,-0.6389121414843077
2010-02-19,44347,BAC,15.88,216000000.0,1.0,15.88,-0.0261046519937269,,0.4234861730380293,-0.6369357189538041
2010-02-22,44347,BAC,16.21,174000000.0,1.0,16.21,-0.0049230868663689,,0.345030165107521,-0.5033671478784587
2010-02-23,44347,BAC,15.94,210000000.0,1.0,15.94,0.3317156874104171,,0.396757402477231,-0.3244049750403054
2010-02-24,44347,BAC,16.33,192000000.0,1.0,16.33,0.0079926647440353,,0.4073868828633841,-0.6449409011213312
2010-02-25,44347,BAC,16.55,287000000.0,1.0,16.55,0.0103250233981487,,0.3896377770177467,-0.6491368461292129
2010-02-26,44347,BAC,16.66,344000000.0,1.0,16.66,0.0102565001671892,,0.4371658183593103,-0.6476543554775412
2010-03-01,44347,BAC,16.71,171000000.0,1.0,16.71,0.0217794452640399,,0.0527318896696019,-0.6036872245151077
2010-03-02,44347,BAC,16.46,183000000.0,1.0,16.46,0.0530214607215832,,0.1921107428850175,-0.6244407462735966
2010-03-03,44347,BAC,16.37,155000000.0,1.0,16.37,0.5410056737169329,,0.2783448991346073,-0.2221100699941618
2010-03-04,44347,BAC,16.4,158000000.0,1.0,16.4,0.0635633869793648,,0.3247099237334883,-0.6057556016712646
2010-03-05,44347,BAC,16.7,172000000.0,1.0,16.7,0.0528703330364296,,0.3726551508372494,-0.6098136153721121
2010-03-08,44347,BAC,16.74,128000000.0,1.0,16.74,-0.0346380386661854,,0.1923376202258794,-0.4992599169604517
2010-03-09,44347,BAC,16.8,168000000.0,1.0,16.8,0.3306558512997731,,0.2471459717577298,-0.3060343880882284
2010-03-10,44347,BAC,17.11,223000000.0,1.0,17.11,0.411326789604496,1.1832510867932289,0.0806162267591708,-0.2799327185580028
2010-03-11,44347,BAC,17.12,145000000.0,1.0,17.12,0.0808705424460454,1.207464822200554,0.2217337540836124,-0.5740748776029125
2010-03-12,44347,BAC,16.85,171000000.0,1.0,16.85,0.0449104596094877,1.2308075194781256,0.2639478179377487,-0.571643825850069
2010-03-15,44347,BAC,16.85,120000000.0,1.0,16.85,0.0029717703891574,1.224587222111133,0.1573222905915121,-0.4693323502174857
2010-03-16,44347,BAC,17.03,107000000.0,1.0,17.03,0.3036634720724409,1.217291263131855,0.1588160788110991,-0.2916472271973735
2010-03-17,44347,BAC,17.27,134000000.0,1.0,17.27,0.0682900000214697,1.2048653335164197,0.0897259568561834,-0.5772943900893953
2010-03-18,44347,BAC,17.08,124000000.0,1.0,17.08,0.0597102273561319,1.204842575968694,0.1604996453368475,-0.5748513572505075
2010-03-19,44347,BAC,16.82,178000000.0,1.0,16.82,0.0512307142066733,1.2167875362714828,0.2053569449411778,-0.5959640743440543
2010-03-22,44347,BAC,16.96,114000000.0,1.0,16.96,-0.0347659578432134,1.2101924819756709,-0.0027053024751938,-0.4681364154653362
2010-03-23,44347,BAC,17.13,131000000.0,1.0,17.13,0.3103141512959758,1.2012324423101564,0.0295318662971358,-0.2816165291021708
2010-03-24,44347,BAC,17.57,271000000.0,1.0,17.57,0.1112591151979452,1.1880998968323981,-0.0021588774393251,-0.5863020531979284
2010-03-25,44347,BAC,17.74,315000000.0,1.0,17.74,0.1279102423540927,1.1835384281935186,0.1329151306388327,-0.5822946383945252
2010-03-26,44347,BAC,17.9,221000000.0,1.0,17.9,0.1497840635146848,1.1683559495642077,0.2104674128987068,-0.5681155529777027
2010-03-29,44347,BAC,18.04,153000000.0,1.0,18.04,0.0605553337512763,1.162416834366565,0.1493807272042919,-0.4580957281293368
2010-03-30,44347,BAC,17.76,144000000.0,1.0,17.76,0.1018631351256556,1.1560688847535896,0.3380023264605543,-0.5868397848010726
2010-03-31,44347,BAC,17.85,114000000.0,1.0,17.85,0.1398739934705755,1.1541909457341315,0.3254667102277732,-0.576565346249196
2010-04-01,44347,BAC,18.04,95600000.0,1.0,18.04,0.109433841045462,1.1662651878020112,0.1704411910177383,-0.5702790816595046
2010-04-05,44347,BAC,18.13,108000000.0,1.0,18.13,0.080962417110204,1.1599635668696917,0.0283684630567827,-0.4507902523559318
2010-04-06,44347,BAC,18.49,160000000.0,1.0,18.49,0.4348265258291515,1.1534848226279537,0.1928497865701083,-0.2649843814838263
2010-04-07,44347,BAC,18.62,234000000.0,1.0,18.62,0.1827512946604735,1.1666104773943011,0.2732138126817054,-0.5629896102989729
2010-04-08,44347,BAC,18.65,164000000.0,1.0,18.65,0.1875901029305485,1.1479283254617465,0.3151908498101113,-0.5568606376027649
2010-04-09,44347,BAC,18.59,135000000.0,1.0,18.59,0.1747120672060119,1.1400241498946018,0.3754362160884941,-0.5536831862656177
2010-04-12,44347,BAC,18.66,128000000.0,1.0,18.66,0.1682727944442507,1.0578802826326916,0.0388579566831166,-0.4159880231086804
2010-04-13,44347,BAC,18.67,114000000.0,1.0,18.67,0.4279440505541955,1.0459374221786764,0.032130965708164,-0.2815714771186101
2010-04-14,44347,BAC,19.4,247000000.0,1.0,19.4,0.2052631260363612,1.0606567652880434,0.0115592101729703,-0.5454052193029357
2010-04-15,44347,BAC,19.48,240000000.0,1.0,19.48,0.2081133358748813,1.0433247265798682,0.1639384708440976,-0.5464916332052644
