Feature,Gain,Window_Start
Close,0.440775,115
RQ_daily,0.030361,115
target_multiplier,1.936977,115
Volume_ABT,0.004611,115
Beta_45d_ABT,0.002200,115
Close_AGN,0.058019,115
Log_Return_AIG,0.000597,115
Beta_45d_AIG,0.001507,115
MA_45d_ALXN,0.084664,115
Variance_45d_AMGN,0.001685,115
Close_AMJ,0.003311,115
Volume_AMZN,0.005738,115
Adj_Close_AMZN,0.051058,115
Volume_AVGO,0.015047,115
Variance_45d_BIDU,1.196203,115
Variance_5d_MA_BIDU,0.050884,115
Variance_5d_MA_BKNG,0.055337,115
MA_45d_BKNG,37.114590,115
Close_BK,0.000888,115
Variance_45d_BK,6.437933,115
Variance_45d_MA_BK,8.841756,115
Variance_5d_MA_BK,0.201070,115
MA_5d_BK,0.000223,115
SPY_Return_BLK,0.005291,115
Close_BMY,0.010952,115
Close_BND,0.018373,115
Variance_5d_MA_BRCM,0.000322,115
Variance_5d_MA_CMG,0.067719,115
Close_CVX,0.004285,115
Volume_C,0.004176,115
Beta_45d_DXJ,0.004693,115
Variance_45d_MA_DXJ,2.432800,115
Close_EFA,0.001291,115
Variance_45d_MA_EFA,0.172117,115
MA_5d_EFA,0.015011,115
Beta_45d_EPD,0.002307,115
Close_ESRX,0.037425,115
Beta_45d_ESRX,0.004718,115
MA_45d_EWG,0.084207,115
Log_Return_EWJ,0.002562,115
MA_45d_EZU,0.106744,115
MA_45d_F,0.449054,115
Variance_45d_GE,0.255439,115
Volume_GILD,0.000899,115
MA_5d_GOOG.L,0.026733,115
Variance_5d_MA_GS,0.603502,115
Close_HYG,0.003542,115
Beta_45d_ICE,0.020002,115
Variance_45d_MA_ICE,0.233932,115
Variance_5d_MA_ICE,0.810539,115
MA_45d_ICE,0.061525,115
Close_IEF,0.710801,115
Variance_45d_IEF,1.178873,115
Variance_45d_MA_IEF,38.201443,115
Variance_5d_MA_IEF,0.019538,115
Volume_IJH,0.000808,115
Adj_Close_IJH,0.040984,115
Volume_ILMN,0.003002,115
MA_5d_INTC,0.017106,115
Beta_45d_IWB,0.017806,115
Volume_IWF,0.014137,115
Beta_45d_JNJ,0.006874,115
Variance_5d_MA_JPM,0.003529,115
Beta_45d_LBTY.A,0.003432,115
Variance_5d_MA_LBTY.A,0.015009,115
Beta_45d_LBTY.K,0.016519,115
Variance_45d_LMT,0.009668,115
Variance_5d_MA_LOW,0.007753,115
Beta_45d_MA,0.011374,115
Variance_45d_MA_MCK,74.739746,115
Variance_5d_MA_MCK,0.004160,115
Volume_MDLZ,0.001143,115
MA_45d_MDT,4.505128,115
Beta_45d_MDY,0.415119,115
Variance_45d_MET,0.227697,115
Variance_45d_MA_MET,267.862946,115
Beta_45d_MMM,0.012101,115
Variance_45d_MA_MMM,0.330261,115
Variance_45d_MON,0.004169,115
Variance_45d_MA_MO,0.006667,115
Variance_45d_MRK,0.006449,115
MA_45d_MRK,0.023470,115
Variance_45d_MU,0.012437,115
Variance_45d_NXPI,0.144258,115
Close_OXY,0.008465,115
Volume_PM,0.001012,115
Beta_45d_PM,0.014111,115
Beta_45d_QCOM,0.004431,115
Volume_SBUX,0.001906,115
Variance_45d_SHY,0.021294,115
Volume_SPG,0.001622,115
Variance_45d_MA_SPG,0.872187,115
Variance_5d_MA_SPG,0.255423,115
Close_UAA,0.045490,115
Log_Return_UNP,0.001339,115
Volume_UPRO,0.000133,115
MA_45d_UPRO,0.006722,115
MA_45d_UTX,0.001968,115
Close_VEA,0.013428,115
Beta_45d_VEU,4.594845,115
Close_VIX,0.003544,115
Variance_5d_MA_VIX,0.106930,115
Variance_5d_MA_VLO,1.064095,115
Beta_45d_VOO,1.275511,115
Beta_45d_VTV,0.002553,115
Variance_45d_MA_VWO,1.202204,115
Close_V,0.080451,115
Beta_45d_V,0.006514,115
Variance_45d_MA_WBA,0.165478,115
Close_WFC,0.608345,115
Variance_45d_WFC,0.094829,115
Close_XLB,0.002349,115
Beta_45d_XLK,0.016741,115
Close,0.186588,100
target_multiplier,0.313628,100
Close_AABA,0.002352,100
Close_ABT,0.008912,100
Beta_45d_AET,0.126907,100
Close_AGG,0.004882,100
Variance_45d_AGN,0.023932,100
MA_45d_AMJ,0.003261,100
MA_45d_AMZN,0.525265,100
Variance_5d_MA_APC,0.013954,100
MA_5d_BHC,0.002084,100
MA_45d_BIDU,0.037640,100
Volume_BIIB,0.001635,100
Variance_45d_MA_BKNG,36.426514,100
MA_45d_BKNG,8.787824,100
Close_BK,1.632684,100
Adj_Close_BK,97.417900,100
Variance_45d_BK,0.001867,100
Variance_45d_MA_BK,2.852163,100
Variance_5d_MA_BK,0.445195,100
Variance_45d_BRCM,0.089477,100
Volume_CAT,0.004312,100
Volume_CSCO,0.003321,100
MA_45d_CVS,0.035595,100
MA_45d_C,0.187438,100
Volume_DAL,0.001816,100
Variance_5d_MA_DAL,0.001573,100
Log_Return_DIA,0.003586,100
Variance_45d_MA_DXJ,0.027916,100
Variance_45d_MA_EEM,0.305557,100
Variance_5d_MA_EEM,0.008391,100
Volume_EFA,0.013684,100
Variance_45d_MA_EFA,0.002320,100
Variance_5d_MA_EFA,0.029582,100
MA_45d_EFA,0.001307,100
Volume_EOG,0.000131,100
Adj_Close_EOG,1.908485,100
Variance_45d_ESRX,0.116831,100
MA_5d_ESRX,0.435434,100
Variance_45d_MA_EWG,1.377704,100
MA_5d_EWG,0.014660,100
Volume_EWJ,0.023434,100
Log_Return_EWJ,0.003495,100
Variance_45d_EWZ,0.004766,100
Close_EXPE,0.013350,100
Volume_FDX,0.001363,100
Variance_5d_MA_FDX,0.120850,100
Variance_45d_F,1.446287,100
MA_5d_F,0.004841,100
Beta_45d_GILD,0.026374,100
Volume_GLD,0.002646,100
Log_Return_GOOG.L,0.001741,100
MA_5d_GOOG.L,0.000570,100
Variance_5d_MA_HAL,0.362496,100
Volume_HD,0.002192,100
Volume_IBB,0.002137,100
