,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d,RQ_daily,RV_x_RQ,HAR_Pred,Residual,Close_AAPL,Volume_AAPL,Adjustment Factor_AAPL,Adj_Close_AAPL,Log_Return_AAPL,SPY_Return_AAPL,Beta_45d_AAPL,Variance_45d_AAPL,Variance_45d_MA_AAPL,Variance_5d_MA_AAPL,MA_45d_AAPL,MA_5d_AAPL,Close_MSFT,Volume_MSFT,Adjustment Factor_MSFT,Adj_Close_MSFT,Log_Return_MSFT,SPY_Return_MSFT,Beta_45d_MSFT,Variance_45d_MSFT,Variance_45d_MA_MSFT,Variance_5d_MA_MSFT,MA_45d_MSFT,MA_5d_MSFT
928,168.95,83200000.0,1.0,168.95,-0.0026599690576551,-0.0026599690576551,1.0000000000000042,3.358287056923896e-05,5.625470920801275e-05,3.382509902975863e-05,0.0004998750976916,0.0035712035391263,5.0061785925270684e-11,2.376134308455566e-10,6.418009753335582e-05,-1.2757154260426468e-05,472.69,14400000.0,0.035714286,16.881785849339998,0.0105913367782329,-0.0026599690576551,0.2730035371652355,0.0003067897774137,0.0002151637234733,0.0002557367118696,0.002587744105174,-0.0093326571798212,32.69,32900000.0,1.0,32.69,-0.0015283512068697,-0.0026599690576551,0.9588730601442932,0.0006626107832547,0.00048068767451,0.0006566505544308,-0.0013260103603709,0.0091059919581171
929,169.33,72700000.0,1.0,169.33,0.0022466605169504,0.0022466605169504,1.0000000000000049,2.9737245026434265e-05,5.52279827715282e-05,3.2921997860039395e-05,0.0002494310119889,0.0039241500984822,2.547708946496162e-11,1.5009825296476844e-10,5.939515572803283e-05,-7.78621913301769e-06,464.9,10700000.0,0.035714286,16.6035715614,-0.0166174538122415,0.0022466605169504,0.1484014094880031,0.0003108827234179,0.0002180109766302,0.0002744823896332,0.0018747571056607,-0.0138438835692088,33.03,40900000.0,1.0,33.03,0.0103470186665792,0.0022466605169504,0.8034287219058527,0.0006460169112572,0.0004915777555076,0.0006571701104903,-0.0017180931782295,0.0117075581545708
930,170.31,126000000.0,1.0,170.31,0.0057708321734952,0.0057708321734952,1.0000000000000049,3.0414988863150212e-05,5.422412102866334e-05,3.225616044833609e-05,0.0003683834416699,0.0031674548830118,1.1090567709814016e-09,1.0128952875039143e-09,6.13113903500828e-05,-9.648394527327894e-06,450.12,19600000.0,0.035714286,16.07571441432,-0.0323081148147427,0.0057708321734952,0.0072379746048079,0.0003366587830568,0.0002215157799831,0.0002984127023891,0.0011972977903573,-0.0234716734720755,32.801,55000000.0,1.0,32.801,-0.0069572366724658,0.0057708321734952,0.7643276477444148,0.0006465808919755,0.0005025425727833,0.0006566228796577,-0.0018633554809014,0.0071125777468284
931,171.07,82500000.0,1.0,171.07,0.0044525236134559,0.0044525236134559,1.0000000000000049,3.051949203047314e-05,5.3223386039692334e-05,3.152124858731577e-05,0.0003819256969926,0.0025887282640311,3.930292978514818e-10,6.050479079673629e-10,6.241082427158879e-05,-1.0764072561343578e-05,455.32,14300000.0,0.035714286,16.26142870152,0.0114862545752195,0.0044525236134559,0.0358740151697452,0.0003389991299778,0.0002251597684048,0.0003198998003538,0.0014041453512777,-0.0165659513586594,32.93,84700000.0,1.0,32.93,0.0039250936580404,0.0044525236134559,0.7385754833813165,0.0006416302188562,0.0005133990393239,0.0006524733296763,-0.0020854655461274,0.0033068726410069
932,173.051,203000000.0,1.0,173.051,0.0115135192771392,0.0115135192771392,1.0000000000000044,3.2829272110010706e-05,5.226771876475516e-05,3.141677371986145e-05,0.0007211945529356,0.0042647133046771,1.757245216484544e-08,4.351885281425497e-09,6.63158430065614e-05,-1.6894266132143515e-05,464.68,16300000.0,0.035714286,16.59571441848,0.0203485281882581,0.0115135192771392,0.190443485243928,0.0003464849412949,0.0002289649448181,0.0003279630710322,0.001713564497341,-0.0012998898170547,33.32,64100000.0,1.0,33.32,0.0117737209103689,0.0115135192771392,0.8051718133594677,0.000645420777722,0.0005243405769697,0.0006484519166131,-0.0018851807999148,0.0035120490711305
933,172.76,147000000.0,1.0,172.76,-0.0016830006488394,-0.0016830006488394,1.0000000000000042,3.287694256286542e-05,5.1311191197828895e-05,3.127558811858675e-05,0.0006274763693127,0.0044601069864402,8.023006307402834e-12,9.312364996598819e-11,6.679466319285518e-05,-1.6320139422638283e-05,472.3,14400000.0,0.035714286,16.8678572778,0.0162653802567973,-0.0016830006488394,0.1688317200905379,0.0003511207613563,0.0002328851394878,0.0003368292678207,0.0020690777272727,-0.0001650811213418,33.64,42000000.0,1.0,33.64,0.0095580178061053,-0.0016830006488394,0.8026463581725899,0.0006443549612569,0.0005351516384425,0.0006448007522135,-0.0013456594361452,0.0057293228737255
934,170.72,133000000.0,1.0,170.72,-0.0118785605390571,-0.0118785605390571,1.000000000000004,3.574838210774814e-05,5.045416857465669e-05,3.2477815534849526e-05,0.0002421244313199,0.0016350627752387,1.9909266575508756e-08,5.0441038822405e-09,7.038339485616155e-05,-2.338447560053267e-05,467.41,25000000.0,0.035714286,16.69321441926,-0.0104075600753909,-0.0118785605390571,0.2471309577038153,0.0003545250773818,0.00023714582442,0.0003455577386135,0.0017631460162243,0.0010768976260282,32.791,103000000.0,1.0,32.791,-0.0255617476104425,-0.0118785605390571,0.9482884705333696,0.0006563939874666,0.0005462730131084,0.0006468761674554,-0.0017263786276127,-0.0014524303816787
935,169.93,105000000.0,1.0,169.93,-0.004638200007429,-0.004638200007429,1.000000000000004,3.621552040207002e-05,4.961874573043261e-05,3.363792184263349e-05,9.96102457514159e-05,-0.000446743660946,4.628048366754888e-10,7.791008438296667e-10,7.032664481888183e-05,-2.401206221302343e-05,490.64,27200000.0,0.035714286,17.522857283039997,0.0485038444910477,-0.004638200007429,0.1235356250984791,0.0003949971447896,0.0002427683931496,0.0003572254109601,0.0031942032527353,0.0172392894871863,32.74,39800000.0,1.0,32.74,-0.0015565155513159,-0.004638200007429,1.0609863504421864,0.0003256823545522,0.0005427195495405,0.0005826964599708,0.0009286595339729,-0.0003722861574487
936,169.53,106000000.0,1.0,169.53,-0.0023566852361525,-0.0023566852361525,1.000000000000004,3.626556462033489e-05,4.8796764242880086e-05,3.4787136360605835e-05,3.93278865236871e-06,-0.0018085854308677,3.0846530579143064e-11,2.0141768756962819e-10,6.963776728004484e-05,-2.361360686721498e-05,489.1,13000000.0,0.035714286,17.4678572826,-0.0031436937724166,-0.0023566852361525,0.1327399914746744,0.0003958897810407,0.000248497758401,0.0003686035411727,0.003053337475341,0.0143132998176591,32.455,40700000.0,1.0,32.455,-0.008743057457557,-0.0023566852361525,1.051511400975064,0.0003197918617381,0.0005388533657139,0.0005183287885471,0.000306803566748,-0.0029059163805682
937,169.04,117000000.0,1.0,169.04,-0.0028945290020604,-0.0028945290020604,1.0000000000000038,3.63530804726699e-05,4.801627989045599e-05,3.549189803313768e-05,-1.314224547277585e-05,-0.0046901950867077,7.01958797858793e-11,3.045769466444471e-10,6.938371513456909e-05,-2.3772579260767576e-05,481.53,11300000.0,0.035714286,17.197500137579997,-0.0155984329520756,-0.0028945290020604,0.1391064192184921,0.0003943616198457,0.0002540547701068,0.0003781788768828,0.00309158847343,0.0071239075895923,32.505,28900000.0,1.0,32.505,0.0015394091710003,-0.0028945290020604,1.038489874578624,0.0003189073719569,0.0005352648147245,0.0004530261073941,0.0004733089054842,-0.0049527787284419
